code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
A1401.DCE,豆一1401,4451.0,4467.0,4473.0,4451.0,4463.0,4454.0,4455.0,2946518300.0,66016,181154,2013-08-22,A,201401,10,1.0,A,1,0.0072992700729927005,True,3,0,0,4467.0,4451.0,4473.0,4451.0
A1401.DCE,豆一1401,4463.0,4464.0,4476.0,4449.0,4461.0,4463.0,4467.0,4011848700.0,89926,183786,2013-08-23,A,201401,10,1.0,A,1,0.0072992700729927005,True,3,0,0,4464.0,4463.0,4476.0,4449.0
A1401.DCE,豆一1401,4528.0,4623.0,4639.0,4520.0,4599.0,4461.0,4464.0,26468710100.0,575450,202420,2013-08-26,A,201401,10,1.0,A,1,0.021897810218978103,True,3,0,0,4623.0,4528.0,4639.0,4520.0
A1401.DCE,豆一1401,4630.0,4569.0,4630.0,4553.0,4575.0,4599.0,4623.0,10971411900.0,239768,171344,2013-08-27,A,201401,10,1.0,A,1,0.0364963503649635,True,3,0,0,4569.0,4630.0,4630.0,4553.0
A1401.DCE,豆一1401,4569.0,4535.0,4569.0,4530.0,4552.0,4575.0,4569.0,3367580500.0,73964,167500,2013-08-28,A,201401,10,1.0,A,1,0.051094890510948905,True,3,0,0,4535.0,4569.0,4569.0,4530.0
A1401.DCE,豆一1401,4550.0,4532.0,4583.0,4488.0,4543.0,4552.0,4535.0,6105689000.0,134390,161364,2013-08-29,A,201401,10,1.0,A,1,0.06569343065693431,True,3,0,0,4532.0,4550.0,4583.0,4488.0
A1401.DCE,豆一1401,4501.0,4512.0,4523.0,4490.0,4509.0,4543.0,4532.0,2287566000.0,50726,158240,2013-08-30,A,201401,10,1.0,A,1,0.08029197080291971,True,3,0,0,4512.0,4501.0,4523.0,4490.0
A1401.DCE,豆一1401,4508.0,4545.0,4547.0,4506.0,4538.0,4509.0,4512.0,2017373600.0,44454,156688,2013-09-02,A,201401,10,1.0,A,-1,0.08029197080291971,True,3,0,0,4545.0,4508.0,4547.0,4506.0
A1401.DCE,豆一1401,4560.0,4548.0,4560.0,4522.0,4540.0,4538.0,4545.0,2656422100.0,58506,151404,2013-09-03,A,201401,10,1.0,A,1,0.0948905109489051,True,3,0,0,4548.0,4560.0,4560.0,4522.0
A1401.DCE,豆一1401,4530.0,4529.0,4535.0,4513.0,4523.0,4540.0,4548.0,1343099700.0,29692,149116,2013-09-04,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4529.0,4530.0,4535.0,4513.0
A1401.DCE,豆一1401,4513.0,4533.0,4545.0,4508.0,4533.0,4523.0,4529.0,2166624100.0,47790,143762,2013-09-05,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4533.0,4513.0,4545.0,4508.0
A1401.DCE,豆一1401,4540.0,4558.0,4563.0,4536.0,4550.0,4533.0,4533.0,1753554600.0,38534,137818,2013-09-06,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4557.999999999999,4539.999999999999,4562.999999999999,4535.999999999999
A1401.DCE,豆一1401,4558.0,4560.0,4569.0,4545.0,4556.0,4550.0,4558.0,1023753900.0,22470,135294,2013-09-09,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4559.999999999999,4557.999999999999,4568.999999999999,4544.999999999999
A1401.DCE,豆一1401,4531.0,4557.0,4560.0,4524.0,4543.0,4556.0,4560.0,1505590700.0,33138,135278,2013-09-10,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4556.999999999999,4530.999999999999,4559.999999999999,4523.999999999999
A1401.DCE,豆一1401,4560.0,4593.0,4603.0,4560.0,4584.0,4543.0,4557.0,4951853600.0,108012,144376,2013-09-11,A,201401,10,1.0,A,1,0.10948905109489052,True,3,0,0,4593.0,4560.0,4603.0,4560.0
A1401.DCE,豆一1401,4586.0,4590.0,4603.0,4576.0,4589.0,4584.0,4593.0,3095625400.0,67454,138858,2013-09-12,A,201401,10,1.0,A,1,0.10948905109489052,True,3,0,0,4590.0,4586.0,4603.0,4576.0
A1401.DCE,豆一1401,4628.0,4591.0,4638.0,4590.0,4603.0,4589.0,4590.0,3593084200.0,78056,113854,2013-09-13,A,201401,10,1.0,A,1,0.10948905109489052,True,3,0,0,4591.0,4628.0,4638.0,4590.0
A1401.DCE,豆一1401,4562.0,4542.0,4577.0,4541.0,4560.0,4603.0,4591.0,2329114900.0,51068,107108,2013-09-16,A,201401,10,1.0,A,1,0.10948905109489052,True,3,0,0,4542.0,4562.0,4577.0,4541.0
A1401.DCE,豆一1401,4530.0,4560.0,4560.0,4523.0,4546.0,4560.0,4542.0,1846878000.0,40622,103444,2013-09-17,A,201401,10,1.0,A,-1,0.0948905109489051,True,3,0,0,4560.0,4530.0,4560.0,4523.0
A1401.DCE,豆一1401,4550.0,4589.0,4591.0,4548.0,4569.0,4546.0,4560.0,1623578900.0,35528,100720,2013-09-18,A,201401,10,1.0,A,-1,0.08029197080291971,True,3,0,0,4589.0,4550.0,4591.0,4548.0
A1401.DCE,豆一1401,4568.0,4574.0,4587.0,4549.0,4570.0,4569.0,4589.0,1441963300.0,31546,104790,2013-09-23,A,201401,10,1.0,A,-1,0.06569343065693431,True,3,0,0,4574.000000000001,4568.000000000001,4587.000000000001,4549.000000000001
A1401.DCE,豆一1401,4571.0,4600.0,4604.0,4571.0,4591.0,4570.0,4574.0,2040683700.0,44448,101912,2013-09-24,A,201401,10,1.0,A,-1,0.051094890510948905,True,3,0,0,4600.0,4571.0,4604.0,4571.0
A1401.DCE,豆一1401,4598.0,4593.0,4610.0,4586.0,4598.0,4591.0,4600.0,1078644100.0,23458,96812,2013-09-25,A,201401,10,1.0,A,-1,0.0364963503649635,True,3,0,0,4593.0,4598.0,4610.0,4586.0
A1401.DCE,豆一1401,4593.0,4592.0,4607.0,4583.0,4593.0,4598.0,4593.0,819206800.0,17834,91064,2013-09-26,A,201401,10,1.0,A,-1,0.021897810218978103,True,3,0,0,4592.0,4593.0,4607.0,4583.0
A1401.DCE,豆一1401,4592.0,4593.0,4600.0,4580.0,4590.0,4593.0,4592.0,1145515100.0,24954,84166,2013-09-27,A,201401,10,1.0,A,-1,0.021897810218978103,True,3,0,0,4593.0,4592.0,4600.0,4580.0
A1401.DCE,豆一1401,4586.0,4616.0,4645.0,4586.0,4622.0,4590.0,4593.0,1880139400.0,40678,84022,2013-09-30,A,201401,10,1.0,A,-1,0.021897810218978103,True,3,0,0,4616.0,4586.0,4645.0,4586.0
