code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
AL1411.SHF,沪铝1411,14860.0,14875.0,15010.0,14825.0,14915.0,14760.0,14890.0,23211200500.0,311184,234696,2014-09-03,AL,201411,5,5.0,AL,1,0.0072992700729927005,True,3,0,0,14875.0,14860.0,15010.0,14825.0
AL1411.SHF,沪铝1411,14820.0,14895.0,14920.0,14780.0,14845.0,14915.0,14875.0,16619549700.0,223894,245650,2014-09-04,AL,201411,5,5.0,AL,1,0.021897810218978103,True,3,0,0,14895.0,14820.0,14920.0,14780.0
AL1411.SHF,沪铝1411,14985.0,14930.0,14985.0,14820.0,14910.0,14845.0,14895.0,11487056900.0,154080,233362,2014-09-05,AL,201411,5,5.0,AL,1,0.0364963503649635,True,3,0,0,14930.0,14985.0,14985.0,14820.0
AL1411.SHF,沪铝1411,14910.0,14775.0,14910.0,14700.0,14775.0,14910.0,14930.0,8573922800.0,116036,218878,2014-09-09,AL,201411,5,5.0,AL,1,0.051094890510948905,True,3,0,0,14775.0,14910.0,14910.0,14700.0
AL1411.SHF,沪铝1411,14695.0,14595.0,14745.0,14460.0,14605.0,14775.0,14775.0,25891653600.0,354446,194954,2014-09-10,AL,201411,5,5.0,AL,1,0.06569343065693431,True,3,0,0,14595.000000000002,14695.000000000004,14745.000000000004,14460.000000000004
AL1411.SHF,沪铝1411,14580.0,14525.0,14685.0,14510.0,14600.0,14605.0,14595.0,15002267600.0,205498,188782,2014-09-11,AL,201411,5,5.0,AL,1,0.08029197080291971,True,3,0,0,14525.000000000002,14580.000000000004,14685.000000000004,14510.000000000004
AL1411.SHF,沪铝1411,14480.0,14555.0,14570.0,14440.0,14500.0,14600.0,14525.0,11278759900.0,155564,179328,2014-09-12,AL,201411,5,5.0,AL,1,0.0948905109489051,True,3,0,0,14555.000000000002,14480.000000000004,14570.000000000004,14440.000000000004
AL1411.SHF,沪铝1411,14535.0,14395.0,14605.0,14235.0,14450.0,14500.0,14555.0,12485643300.0,172802,170572,2014-09-15,AL,201411,5,5.0,AL,1,0.10948905109489052,True,3,0,0,14395.000000000002,14535.000000000004,14605.000000000004,14235.000000000004
AL1411.SHF,沪铝1411,14300.0,14280.0,14380.0,14260.0,14300.0,14450.0,14395.0,12412547100.0,173544,155700,2014-09-16,AL,201411,5,5.0,AL,1,0.12408759124087591,True,3,0,0,14280.000000000002,14300.000000000004,14380.000000000004,14260.000000000004
AL1411.SHF,沪铝1411,14295.0,14395.0,14450.0,14255.0,14360.0,14300.0,14280.0,10870883300.0,151388,139572,2014-09-17,AL,201411,5,5.0,AL,1,0.1386861313868613,True,3,0,0,14395.000000000002,14295.000000000004,14450.000000000004,14255.000000000004
AL1411.SHF,沪铝1411,14310.0,14240.0,14350.0,14215.0,14285.0,14360.0,14395.0,7538765800.0,105516,128046,2014-09-18,AL,201411,5,5.0,AL,1,0.15328467153284672,True,3,0,0,14240.000000000002,14310.000000000004,14350.000000000004,14215.000000000004
AL1411.SHF,沪铝1411,14245.0,14225.0,14310.0,14210.0,14255.0,14285.0,14240.0,7122773000.0,99926,119088,2014-09-19,AL,201411,5,5.0,AL,1,0.1678832116788321,True,3,0,0,14225.000000000002,14245.000000000004,14310.000000000004,14210.000000000004
AL1411.SHF,沪铝1411,14255.0,13995.0,14275.0,13990.0,14140.0,14255.0,14225.0,9529185300.0,134758,113588,2014-09-22,AL,201411,5,5.0,AL,1,0.18248175182481752,True,3,0,0,13995.0,14255.0,14275.0,13990.0
AL1411.SHF,沪铝1411,14005.0,14085.0,14120.0,13970.0,14045.0,14140.0,13995.0,6524195300.0,92888,106666,2014-09-23,AL,201411,5,5.0,AL,1,0.19708029197080293,True,3,0,0,14085.0,14005.0,14120.0,13970.0
AL1411.SHF,沪铝1411,14055.0,14090.0,14125.0,14015.0,14065.0,14045.0,14085.0,4769266200.0,67798,99148,2014-09-24,AL,201411,5,5.0,AL,1,0.2116788321167883,True,3,0,0,14090.000000000002,14055.000000000004,14125.000000000004,14015.000000000004
AL1411.SHF,沪铝1411,14050.0,14065.0,14135.0,14015.0,14075.0,14065.0,14090.0,5451175400.0,77440,88200,2014-09-25,AL,201411,5,5.0,AL,1,0.22627737226277372,True,3,0,0,14065.000000000002,14050.000000000004,14135.000000000004,14015.000000000004
AL1411.SHF,沪铝1411,14045.0,14060.0,14105.0,14025.0,14055.0,14075.0,14065.0,3176207360.0,45184,85920,2014-09-26,AL,201411,5,5.0,AL,-1,0.22627737226277372,True,3,0,0,14060.000000000002,14045.000000000004,14105.000000000004,14025.000000000004
AL1411.SHF,沪铝1411,14050.0,13935.0,14090.0,13905.0,13975.0,14055.0,14060.0,3771781890.0,53964,77800,2014-09-29,AL,201411,5,5.0,AL,1,0.24087591240875914,True,3,1,0,13935.000000000002,14050.000000000004,14090.000000000004,13905.000000000004
AL1412.SHF,沪铝1412,13935.0,14015.0,14135.0,13930.0,14060.0,13965.0,13935.0,4609092600.0,65552,145956,2014-09-30,AL,201412,5,5.0,AL,1,0.25547445255474455,True,3,0,1,14015.000000000002,13935.000000000004,14135.000000000004,13930.000000000004
AL1412.SHF,沪铝1412,14045.0,13945.0,14075.0,13925.0,14000.0,14060.0,14015.0,2376887040.0,33946,146206,2014-10-08,AL,201412,5,5.0,AL,-1,0.25547445255474455,True,3,0,0,13945.000000000002,14045.000000000004,14075.000000000004,13925.000000000004
AL1412.SHF,沪铝1412,13970.0,13885.0,13970.0,13760.0,13860.0,14000.0,13945.0,6914576900.0,99762,145296,2014-10-09,AL,201412,5,5.0,AL,1,0.27007299270072993,True,3,0,0,13885.000000000004,13970.000000000004,13970.000000000004,13760.000000000004
AL1412.SHF,沪铝1412,13870.0,13735.0,13960.0,13715.0,13845.0,13860.0,13885.0,8056207900.0,116364,141040,2014-10-10,AL,201412,5,5.0,AL,1,0.2846715328467153,True,3,0,0,13735.000000000002,13870.000000000004,13960.000000000004,13715.000000000004
AL1412.SHF,沪铝1412,13705.0,13820.0,13855.0,13675.0,13775.0,13845.0,13735.0,5689899500.0,82604,129460,2014-10-13,AL,201412,5,5.0,AL,1,0.2846715328467153,True,3,0,0,13820.000000000004,13705.000000000004,13855.000000000004,13675.000000000004
AL1412.SHF,沪铝1412,13820.0,13805.0,13870.0,13740.0,13800.0,13775.0,13820.0,5976195100.0,86602,133752,2014-10-14,AL,201412,5,5.0,AL,1,0.29927007299270075,True,3,0,0,13805.000000000004,13820.000000000004,13870.000000000004,13740.000000000004
AL1412.SHF,沪铝1412,13795.0,13790.0,13860.0,13780.0,13815.0,13800.0,13805.0,5249347100.0,75984,133122,2014-10-15,AL,201412,5,5.0,AL,1,0.31386861313868614,True,3,0,0,13790.000000000004,13795.000000000004,13860.000000000004,13780.000000000004
AL1412.SHF,沪铝1412,13740.0,13660.0,13775.0,13640.0,13705.0,13815.0,13790.0,5641748500.0,82324,130840,2014-10-16,AL,201412,5,5.0,AL,1,0.3284671532846715,True,3,0,0,13660.000000000004,13740.000000000004,13775.000000000004,13640.000000000004
AL1412.SHF,沪铝1412,13605.0,13600.0,13665.0,13540.0,13595.0,13705.0,13660.0,4751476200.0,69884,130216,2014-10-17,AL,201412,5,5.0,AL,1,0.34306569343065696,True,3,0,0,13600.000000000004,13605.000000000004,13665.000000000004,13540.000000000004
AL1412.SHF,沪铝1412,13725.0,13805.0,13820.0,13700.0,13775.0,13595.0,13600.0,6976325600.0,101272,123662,2014-10-20,AL,201412,5,5.0,AL,1,0.35766423357664234,True,3,0,0,13805.000000000005,13725.000000000005,13820.000000000005,13700.000000000005
AL1412.SHF,沪铝1412,13785.0,13750.0,13850.0,13735.0,13800.0,13775.0,13805.0,4793080800.0,69456,114908,2014-10-21,AL,201412,5,5.0,AL,1,0.3722627737226277,True,3,0,0,13750.000000000004,13785.000000000004,13850.000000000004,13735.000000000004
AL1412.SHF,沪铝1412,13835.0,13755.0,13860.0,13680.0,13785.0,13800.0,13750.0,5836845100.0,84680,103630,2014-10-22,AL,201412,5,5.0,AL,1,0.38686131386861317,True,3,1,0,13755.000000000005,13835.000000000005,13860.000000000005,13680.000000000005
AL1501.SHF,沪铝1501,13815.0,13865.0,13890.0,13790.0,13840.0,13840.0,13815.0,3893147390.0,56256,131186,2014-10-23,AL,201501,5,5.0,AL,1,0.40145985401459855,True,3,0,1,13804.782844733989,13755.000000000005,13829.674267100982,13730.108577633013
AL1501.SHF,沪铝1501,13815.0,13865.0,13930.0,13810.0,13855.0,13840.0,13865.0,3380491780.0,48784,135140,2014-10-24,AL,201501,5,5.0,AL,-1,0.40145985401459855,True,3,0,0,13804.782844733989,13755.000000000005,13869.50054288817,13750.021715526605
AL1501.SHF,沪铝1501,13810.0,13825.0,13875.0,13795.0,13825.0,13855.0,13865.0,2485074690.0,35942,135950,2014-10-27,AL,201501,5,5.0,AL,-1,0.40145985401459855,True,3,0,0,13764.956568946802,13750.021715526605,13814.739413680787,13735.086862106411
AL1501.SHF,沪铝1501,13850.0,13825.0,13875.0,13790.0,13830.0,13825.0,13825.0,3071841280.0,44412,137358,2014-10-28,AL,201501,5,5.0,AL,-1,0.40145985401459855,True,3,0,0,13764.956568946802,13789.847991313794,13814.739413680787,13730.108577633013
AL1501.SHF,沪铝1501,13850.0,13845.0,13880.0,13800.0,13840.0,13830.0,13825.0,3286795260.0,47490,137042,2014-10-29,AL,201501,5,5.0,AL,-1,0.40145985401459855,True,3,0,0,13784.869706840396,13789.847991313796,13819.717698154187,13740.065146579811
AL1501.SHF,沪铝1501,13865.0,13860.0,13975.0,13850.0,13910.0,13840.0,13845.0,7387618300.0,106198,142752,2014-10-30,AL,201501,5,5.0,AL,1,0.41605839416058393,True,3,0,0,13799.804560260589,13804.782844733987,13914.305103148754,13789.847991313793
AL1501.SHF,沪铝1501,13875.0,14000.0,14005.0,13825.0,13915.0,13910.0,13860.0,6155279900.0,88442,152922,2014-10-31,AL,201501,5,5.0,AL,1,0.4306569343065693,True,3,0,0,13939.196525515747,13814.739413680785,13944.174809989145,13764.9565689468
AL1501.SHF,沪铝1501,13995.0,13980.0,14035.0,13920.0,13980.0,13915.0,14000.0,5957745200.0,85230,159246,2014-11-03,AL,201501,5,5.0,AL,1,0.44525547445255476,True,3,0,0,13919.283387622154,13934.21824104235,13974.044516829537,13859.543973941372
AL1501.SHF,沪铝1501,14005.0,14135.0,14180.0,13985.0,14105.0,13980.0,13980.0,10063478800.0,142644,172190,2014-11-04,AL,201501,5,5.0,AL,1,0.45985401459854014,True,3,0,0,14073.610206297506,13944.174809989145,14118.414766558091,13924.261672095552
AL1501.SHF,沪铝1501,14020.0,13800.0,14060.0,13800.0,13940.0,14105.0,14135.0,9576332300.0,137356,157954,2014-11-05,AL,201501,5,5.0,AL,1,0.4744525547445255,True,3,0,0,13740.065146579807,13959.109663409341,13998.935939196528,13740.065146579807
AL1501.SHF,沪铝1501,13815.0,13870.0,13890.0,13700.0,13835.0,13940.0,13800.0,6452908000.0,93268,157160,2014-11-06,AL,201501,5,5.0,AL,1,0.48905109489051096,True,3,0,0,13809.761129207385,13755.000000000002,13829.674267100978,13640.499457111837
AL1501.SHF,沪铝1501,13865.0,13845.0,13935.0,13830.0,13885.0,13835.0,13870.0,6910175200.0,99530,151646,2014-11-07,AL,201501,5,5.0,AL,1,0.5036496350364964,True,3,0,0,13784.869706840393,13804.782844733987,13874.478827361565,13769.934853420196
AL1501.SHF,沪铝1501,13850.0,13760.0,13910.0,13755.0,13835.0,13885.0,13845.0,6089989100.0,88010,153960,2014-11-10,AL,201501,5,5.0,AL,1,0.5182481751824818,True,3,0,0,13700.238870792618,13789.84799131379,13849.587404994572,13695.26058631922
AL1501.SHF,沪铝1501,13740.0,13715.0,13815.0,13700.0,13745.0,13835.0,13760.0,5524415000.0,80366,147342,2014-11-11,AL,201501,5,5.0,AL,1,0.5328467153284672,True,3,0,0,13655.434310532033,13680.325732899026,13755.000000000004,13640.499457111839
AL1501.SHF,沪铝1501,13695.0,13735.0,13785.0,13680.0,13740.0,13745.0,13715.0,4334168600.0,63078,148210,2014-11-12,AL,201501,5,5.0,AL,1,0.5474452554744526,True,3,0,0,13675.347448425626,13635.521172638439,13725.130293159611,13620.586319218242
AL1501.SHF,沪铝1501,13750.0,13770.0,13810.0,13725.0,13770.0,13740.0,13735.0,4833382400.0,70182,148750,2014-11-13,AL,201501,5,5.0,AL,1,0.5620437956204379,True,3,0,0,13710.195439739415,13690.282301845822,13750.021715526604,13665.39087947883
AL1501.SHF,沪铝1501,13780.0,13665.0,13805.0,13660.0,13740.0,13770.0,13770.0,4929521200.0,71752,141202,2014-11-14,AL,201501,5,5.0,AL,1,0.5620437956204379,True,3,0,0,13605.651465798046,13720.152008686211,13745.043431053204,13600.673181324648
AL1501.SHF,沪铝1501,13690.0,13750.0,13765.0,13665.0,13725.0,13740.0,13665.0,3993027330.0,58166,138168,2014-11-17,AL,201501,5,5.0,AL,1,0.5620437956204379,True,3,0,0,13690.28230184582,13630.542888165039,13705.217155266015,13605.651465798046
AL1501.SHF,沪铝1501,13780.0,13725.0,13780.0,13685.0,13730.0,13725.0,13750.0,2831298300.0,41234,133292,2014-11-18,AL,201501,5,5.0,AL,-1,0.5620437956204379,True,3,0,0,13665.390879478828,13720.152008686211,13720.152008686211,13625.564603691639
AL1501.SHF,沪铝1501,13675.0,13700.0,13720.0,13625.0,13670.0,13730.0,13725.0,4318267400.0,63178,122820,2014-11-19,AL,201501,5,5.0,AL,1,0.5766423357664233,True,3,0,0,13640.499457111835,13615.608034744842,13660.41259500543,13565.825190010857
AL1501.SHF,沪铝1501,13705.0,13710.0,13750.0,13685.0,13715.0,13670.0,13700.0,2794284540.0,40736,119814,2014-11-20,AL,201501,5,5.0,AL,-1,0.5766423357664233,True,3,0,0,13650.456026058631,13645.477741585233,13690.28230184582,13625.564603691639
AL1501.SHF,沪铝1501,13710.0,13775.0,13790.0,13680.0,13745.0,13715.0,13710.0,2871590910.0,41782,119278,2014-11-21,AL,201501,5,5.0,AL,-1,0.5766423357664233,True,3,0,0,13715.173724212815,13650.456026058635,13730.108577633011,13620.586319218244
AL1501.SHF,沪铝1501,13900.0,13795.0,13920.0,13785.0,13835.0,13745.0,13775.0,3805842940.0,55008,115110,2014-11-24,AL,201501,5,5.0,AL,1,0.5912408759124088,True,3,0,0,13735.08686210641,13839.630836047778,13859.54397394137,13725.130293159613
AL1501.SHF,沪铝1501,13795.0,13800.0,13815.0,13745.0,13775.0,13835.0,13795.0,1461213310.0,21210,113282,2014-11-25,AL,201501,5,5.0,AL,-1,0.5912408759124088,True,3,0,0,13740.065146579807,13735.08686210641,13755.000000000004,13685.304017372424
AL1501.SHF,沪铝1501,13820.0,13765.0,13840.0,13700.0,13780.0,13775.0,13800.0,3296495620.0,47828,105044,2014-11-26,AL,201501,5,5.0,AL,-1,0.5912408759124088,True,3,0,0,13705.21715526602,13759.978284473404,13779.891422366996,13640.499457111839
AL1501.SHF,沪铝1501,13800.0,13760.0,13820.0,13710.0,13765.0,13780.0,13765.0,2802937600.0,40714,100156,2014-11-27,AL,201501,5,5.0,AL,-1,0.5766423357664233,True,3,0,0,13700.238870792622,13740.06514657981,13759.978284473404,13650.456026058637
AL1501.SHF,沪铝1501,13765.0,13720.0,13770.0,13640.0,13700.0,13765.0,13760.0,3472707330.0,50690,93534,2014-11-28,AL,201501,5,5.0,AL,1,0.5912408759124088,True,3,1,0,13660.412595005435,13705.217155266022,13710.19543973942,13580.760043431059
AL1502.SHF,沪铝1502,13765.0,13560.0,13725.0,13505.0,13610.0,13745.0,13765.0,4060941570.0,59666,118160,2014-12-01,AL,201502,5,5.0,AL,1,0.6058394160583942,True,3,0,1,13456.970198930163,13660.412595005435,13620.716517722454,13402.388092666066
AL1502.SHF,沪铝1502,13565.0,13530.0,13640.0,13520.0,13580.0,13610.0,13560.0,3873519360.0,57032,126024,2014-12-02,AL,201502,5,5.0,AL,1,0.6204379562043796,True,3,0,0,13427.198140967928,13461.932208590535,13536.362353496123,13417.274121647182
AL1502.SHF,沪铝1502,13500.0,13385.0,13500.0,13330.0,13400.0,13580.0,13530.0,8791119900.0,131210,139834,2014-12-03,AL,201502,5,5.0,AL,1,0.635036496350365,True,3,0,0,13283.299860817126,13397.426083005694,13397.426083005694,13228.717754553028
AL1502.SHF,沪铝1502,13380.0,13470.0,13505.0,13330.0,13435.0,13400.0,13385.0,5085192700.0,75690,129752,2014-12-04,AL,201502,5,5.0,AL,1,0.6496350364963503,True,3,0,0,13367.654025043457,13278.337851156752,13402.388092666064,13228.717754553027
AL1502.SHF,沪铝1502,13430.0,13440.0,13540.0,13430.0,13490.0,13435.0,13470.0,4101600000.0,60790,125566,2014-12-05,AL,201502,5,5.0,AL,1,0.6642335766423357,True,3,0,0,13337.881967081223,13327.957947760478,13437.122160288673,13327.957947760478
AL1502.SHF,沪铝1502,13450.0,13370.0,13475.0,13370.0,13405.0,13490.0,13440.0,2814315010.0,41978,127454,2014-12-08,AL,201502,5,5.0,AL,-1,0.6642335766423357,True,3,0,0,13268.413831836006,13347.805986401965,13372.616034703828,13268.413831836006
AL1502.SHF,沪铝1502,13380.0,13305.0,13400.0,13245.0,13325.0,13405.0,13370.0,3693241340.0,55416,127160,2014-12-09,AL,201502,5,5.0,AL,1,0.6788321167883211,True,3,0,0,13203.907706251164,13278.33785115675,13298.18588979824,13144.363590326693
AL1502.SHF,沪铝1502,13280.0,13325.0,13390.0,13280.0,13325.0,13325.0,13305.0,3524000510.0,52874,127084,2014-12-10,AL,201502,5,5.0,AL,1,0.6934306569343066,True,3,0,0,13223.755744892653,13179.097657949302,13288.261870477496,13179.097657949302
AL1502.SHF,沪铝1502,13285.0,13335.0,13350.0,13275.0,13315.0,13325.0,13325.0,2810915070.0,42212,127096,2014-12-11,AL,201502,5,5.0,AL,-1,0.6788321167883211,True,3,0,0,13233.679764213397,13184.059667609672,13248.565793194513,13174.135648288928
AL1502.SHF,沪铝1502,13335.0,13400.0,13400.0,13305.0,13350.0,13315.0,13335.0,2920385540.0,43742,120558,2014-12-12,AL,201502,5,5.0,AL,-1,0.6642335766423357,True,3,0,0,13298.185889798238,13233.679764213397,13298.185889798238,13203.907706251162
AL1502.SHF,沪铝1502,13385.0,13455.0,13465.0,13360.0,13415.0,13350.0,13400.0,2713404930.0,40450,110862,2014-12-15,AL,201502,5,5.0,AL,-1,0.6496350364963503,True,3,0,0,13352.767996062337,13283.299860817124,13362.692015383083,13258.489812515261
AL1502.SHF,沪铝1502,13450.0,13345.0,13460.0,13330.0,13375.0,13415.0,13455.0,1946012540.0,29098,108172,2014-12-16,AL,201502,5,5.0,AL,-1,0.635036496350365,True,3,0,0,13243.603783534143,13347.805986401965,13357.73000572271,13228.717754553027
AL1502.SHF,沪铝1502,13315.0,13235.0,13335.0,13220.0,13280.0,13375.0,13345.0,2992587520.0,45062,106106,2014-12-17,AL,201502,5,5.0,AL,-1,0.6204379562043796,True,3,0,0,13134.439571005949,13213.831725571908,13233.679764213399,13119.55354202483
AL1502.SHF,沪铝1502,13200.0,13000.0,13200.0,12960.0,13115.0,13280.0,13235.0,4839913500.0,73800,100816,2014-12-18,AL,201502,5,5.0,AL,1,0.6204379562043796,True,3,0,0,12901.225116968442,13099.705503383342,13099.705503383342,12861.529039685462
