code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
AU1412.SHF,沪金1412,258.2,258.9,261.0,257.45,259.0,261.35,261.4,62849247000.0,242636,189892,2014-08-18,AU,201412,1000,0.05,AU,1,0.0,True,3,0,0,258.9,258.2,261.0,257.45
AU1412.SHF,沪金1412,258.3,258.15,258.7,257.85,258.3,259.0,258.9,25033143100.0,96908,191608,2014-08-19,AU,201412,1000,0.05,AU,1,0.014492753623188406,True,3,0,0,258.15,258.3,258.7,257.85
AU1412.SHF,沪金1412,258.1,257.75,258.35,257.05,257.6,258.3,258.15,31578830800.0,122570,196456,2014-08-20,AU,201412,1000,0.05,AU,1,0.028985507246376812,True,3,0,0,257.75,258.1,258.35,257.05
AU1412.SHF,沪金1412,257.7,254.55,258.1,254.45,256.4,257.6,257.75,46846554000.0,182704,208648,2014-08-21,AU,201412,1000,0.05,AU,1,0.043478260869565216,True,3,0,0,254.55,257.7,258.1,254.45
AU1412.SHF,沪金1412,253.9,255.1,255.35,253.6,254.5,256.4,254.55,36736184000.0,144324,202444,2014-08-22,AU,201412,1000,0.05,AU,1,0.057971014492753624,True,3,0,0,255.09999999999997,253.89999999999998,255.34999999999997,253.59999999999997
AU1412.SHF,沪金1412,254.65,254.55,255.55,254.25,254.85,254.5,255.1,32493518800.0,127490,202364,2014-08-25,AU,201412,1000,0.05,AU,1,0.07246376811594203,True,3,0,0,254.54999999999998,254.64999999999998,255.54999999999998,254.24999999999997
AU1412.SHF,沪金1412,254.8,257.0,257.25,254.35,255.2,254.85,254.55,30378360800.0,119032,200246,2014-08-26,AU,201412,1000,0.05,AU,1,0.08695652173913043,True,3,0,0,256.99999999999994,254.79999999999995,257.24999999999994,254.34999999999994
AU1412.SHF,沪金1412,256.85,255.95,256.85,255.5,256.0,255.2,257.0,25766037500.0,100634,200838,2014-08-27,AU,201412,1000,0.05,AU,1,0.10144927536231885,True,3,0,0,255.94999999999996,256.84999999999997,256.84999999999997,255.49999999999997
AU1412.SHF,沪金1412,256.05,256.3,256.7,255.1,255.8,256.0,255.95,27503228900.0,107500,202086,2014-08-28,AU,201412,1000,0.05,AU,1,0.11594202898550725,True,3,0,0,256.29999999999995,256.04999999999995,256.69999999999993,255.09999999999994
AU1412.SHF,沪金1412,257.2,256.75,257.3,256.05,256.6,255.8,256.3,24166672400.0,94176,200694,2014-08-29,AU,201412,1000,0.05,AU,1,0.13043478260869565,True,3,0,0,256.74999999999994,257.19999999999993,257.29999999999995,256.04999999999995
AU1412.SHF,沪金1412,256.15,256.15,256.85,255.65,256.1,256.6,256.75,21889845200.0,85460,203236,2014-09-01,AU,201412,1000,0.05,AU,1,0.14492753623188406,True,3,0,0,256.1499999999999,256.1499999999999,256.84999999999997,255.64999999999995
AU1412.SHF,沪金1412,256.0,253.75,256.05,253.5,254.9,256.1,256.15,23798908900.0,93350,212054,2014-09-02,AU,201412,1000,0.05,AU,1,0.15942028985507245,True,3,0,0,253.74999999999997,255.99999999999997,256.04999999999995,253.49999999999997
AU1412.SHF,沪金1412,252.35,252.3,252.7,251.4,252.15,254.9,253.75,32403294200.0,128502,210020,2014-09-03,AU,201412,1000,0.05,AU,1,0.17391304347826086,True,3,0,0,252.29999999999998,252.34999999999997,252.69999999999996,251.39999999999998
AU1412.SHF,沪金1412,251.9,252.45,253.25,251.75,252.45,252.15,252.3,19863115800.0,78672,207548,2014-09-04,AU,201412,1000,0.05,AU,1,0.18840579710144928,True,3,0,0,252.45,251.9,253.25,251.75
AU1412.SHF,沪金1412,252.1,251.4,254.15,251.0,252.25,252.45,252.45,41284911000.0,163662,205372,2014-09-05,AU,201412,1000,0.05,AU,1,0.2028985507246377,True,3,0,0,251.4,252.1,254.15,251.0
AU1412.SHF,沪金1412,250.0,249.65,250.45,249.35,249.85,252.25,251.4,14906906600.0,59662,209476,2014-09-09,AU,201412,1000,0.05,AU,1,0.21739130434782608,True,3,0,0,249.65,250.0,250.45,249.35
AU1412.SHF,沪金1412,249.3,249.55,249.9,247.7,249.0,249.85,249.65,33701926900.0,135338,208152,2014-09-10,AU,201412,1000,0.05,AU,1,0.2318840579710145,True,3,0,0,249.55,249.3,249.9,247.7
AU1412.SHF,沪金1412,248.0,248.15,249.0,247.2,248.05,249.0,249.55,36139028000.0,145674,206646,2014-09-11,AU,201412,1000,0.05,AU,1,0.2463768115942029,True,3,0,0,248.15,248.0,249.0,247.2
AU1412.SHF,沪金1412,247.3,246.25,247.85,244.85,246.2,248.05,248.15,48885416000.0,198534,210496,2014-09-12,AU,201412,1000,0.05,AU,1,0.2608695652173913,True,3,0,0,246.25,247.3,247.85,244.85
AU1412.SHF,沪金1412,245.5,245.7,245.85,244.05,244.9,246.2,246.25,39705768000.0,162102,210360,2014-09-15,AU,201412,1000,0.05,AU,1,0.2753623188405797,True,3,0,0,245.7,245.5,245.85,244.05
AU1412.SHF,沪金1412,245.8,246.45,247.05,245.35,246.1,244.9,245.7,29517406200.0,119940,204962,2014-09-16,AU,201412,1000,0.05,AU,1,0.2898550724637681,True,3,0,0,246.45,245.8,247.05,245.35
AU1412.SHF,沪金1412,246.2,246.85,247.7,245.6,246.55,246.1,246.45,35566457000.0,144234,202132,2014-09-17,AU,201412,1000,0.05,AU,1,0.30434782608695654,True,3,0,0,246.84999999999997,246.19999999999996,247.69999999999996,245.59999999999997
AU1412.SHF,沪金1412,246.75,244.3,247.3,243.8,245.2,246.55,246.85,34446856000.0,140466,207110,2014-09-18,AU,201412,1000,0.05,AU,1,0.3188405797101449,True,3,0,0,244.29999999999998,246.74999999999997,247.29999999999998,243.79999999999998
AU1412.SHF,沪金1412,243.7,243.7,245.25,243.1,244.1,245.2,244.3,53194904000.0,217886,200502,2014-09-19,AU,201412,1000,0.05,AU,1,0.3333333333333333,True,3,0,0,243.69999999999996,243.69999999999996,245.24999999999997,243.09999999999997
AU1412.SHF,沪金1412,244.4,241.3,244.4,239.35,241.95,244.1,243.7,68133454000.0,281546,211556,2014-09-22,AU,201412,1000,0.05,AU,1,0.34782608695652173,True,3,0,0,241.29999999999998,244.39999999999998,244.39999999999998,239.34999999999997
AU1412.SHF,沪金1412,241.2,241.8,242.7,240.7,241.7,241.95,241.3,38522843000.0,159356,204684,2014-09-23,AU,201412,1000,0.05,AU,1,0.36231884057971014,True,3,0,0,241.8,241.2,242.7,240.7
AU1412.SHF,沪金1412,243.65,243.6,244.1,242.4,243.2,241.7,241.8,36032647000.0,148156,198036,2014-09-24,AU,201412,1000,0.05,AU,1,0.37681159420289856,True,3,0,0,243.6,243.65,244.1,242.4
AU1412.SHF,沪金1412,242.85,240.65,243.5,240.15,241.85,243.2,243.6,45978620000.0,190080,203790,2014-09-25,AU,201412,1000,0.05,AU,1,0.391304347826087,True,3,0,0,240.64999999999998,242.84999999999997,243.49999999999997,240.14999999999998
AU1412.SHF,沪金1412,241.0,244.2,245.6,240.25,242.95,241.85,240.65,55001076000.0,226368,192526,2014-09-26,AU,201412,1000,0.05,AU,1,0.4057971014492754,True,3,0,0,244.2,241.0,245.6,240.25
AU1412.SHF,沪金1412,241.95,242.9,244.0,241.5,242.35,242.95,244.2,27395364900.0,113038,186226,2014-09-29,AU,201412,1000,0.05,AU,1,0.42028985507246375,True,3,0,0,242.9,241.95,244.0,241.5
AU1412.SHF,沪金1412,243.35,242.85,243.8,242.6,243.15,242.35,242.9,16868454400.0,69364,180926,2014-09-30,AU,201412,1000,0.05,AU,1,0.43478260869565216,True,3,0,0,242.85,243.35,243.8,242.6
AU1412.SHF,沪金1412,241.9,242.35,242.55,241.3,241.9,243.15,242.85,15063994400.0,62264,181314,2014-10-08,AU,201412,1000,0.05,AU,1,0.4492753623188406,True,3,0,0,242.35,241.9,242.55,241.3
AU1412.SHF,沪金1412,242.5,243.95,244.35,240.2,242.2,241.9,242.35,52702343000.0,217558,184852,2014-10-09,AU,201412,1000,0.05,AU,1,0.463768115942029,True,3,0,0,243.94999999999996,242.49999999999997,244.34999999999997,240.19999999999996
AU1412.SHF,沪金1412,244.15,243.0,244.5,242.8,243.6,242.2,243.95,42199515000.0,173212,186242,2014-10-10,AU,201412,1000,0.05,AU,1,0.4782608695652174,True,3,0,0,242.99999999999997,244.14999999999998,244.49999999999997,242.79999999999998
AU1412.SHF,沪金1412,242.85,245.15,246.2,242.5,244.0,243.6,243.0,42274533000.0,173238,178508,2014-10-13,AU,201412,1000,0.05,AU,1,0.4927536231884058,True,3,0,0,245.14999999999998,242.84999999999997,246.19999999999996,242.49999999999997
AU1412.SHF,沪金1412,244.4,244.9,245.8,243.95,244.65,244.0,245.15,24561535000.0,100376,179602,2014-10-14,AU,201412,1000,0.05,AU,1,0.5072463768115942,True,3,0,0,244.89999999999998,244.39999999999998,245.79999999999998,243.94999999999996
AU1412.SHF,沪金1412,245.15,243.2,245.45,243.1,244.35,244.65,244.9,35061318000.0,143484,184244,2014-10-15,AU,201412,1000,0.05,AU,1,0.5217391304347826,True,3,0,0,243.19999999999993,245.14999999999995,245.44999999999993,243.09999999999994
AU1412.SHF,沪金1412,245.7,245.6,247.6,244.8,245.95,244.35,243.2,73339830000.0,298144,181574,2014-10-16,AU,201412,1000,0.05,AU,1,0.5362318840579711,True,3,0,0,245.59999999999997,245.69999999999996,247.59999999999997,244.79999999999998
AU1412.SHF,沪金1412,245.3,245.8,246.45,245.05,245.8,245.95,245.6,40243253000.0,163722,179584,2014-10-17,AU,201412,1000,0.05,AU,1,0.5507246376811594,True,3,0,0,245.79999999999998,245.29999999999998,246.44999999999996,245.04999999999998
AU1412.SHF,沪金1412,245.6,245.8,246.1,244.4,245.25,245.8,245.8,32495616000.0,132482,175370,2014-10-20,AU,201412,1000,0.05,AU,1,0.5652173913043478,True,3,0,0,245.79999999999998,245.59999999999997,246.09999999999997,244.39999999999998
