code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
BB1409.DCE,胶合板1409,138.85,137.4,139.45,136.2,137.65,138.4,138.95,13565041800.0,197080,61136,2014-04-21,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,137.4,138.85,139.45,136.2
BB1409.DCE,胶合板1409,137.3,137.2,138.15,135.4,137.0,137.65,137.4,19628194400.0,286542,57566,2014-04-22,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,137.2,137.3,138.15,135.4
BB1409.DCE,胶合板1409,137.5,140.35,140.4,137.35,139.1,137.0,137.2,21347570000.0,306846,67074,2014-04-23,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,140.35,137.5,140.4,137.35
BB1409.DCE,胶合板1409,140.6,139.4,141.25,139.0,139.75,139.1,140.35,14981270500.0,214342,62412,2014-04-24,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,139.4,140.6,141.25,139.0
BB1409.DCE,胶合板1409,139.5,139.4,139.75,138.15,139.0,139.75,139.4,9832838000.0,141446,54456,2014-04-25,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,139.4,139.5,139.75,138.15
BB1409.DCE,胶合板1409,139.5,138.05,140.6,137.7,138.95,139.0,139.4,11286836400.0,162458,53618,2014-04-28,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,138.05000000000004,139.50000000000003,140.60000000000002,137.70000000000002
BB1409.DCE,胶合板1409,137.95,140.6,140.65,137.5,139.6,138.95,138.05,14118507100.0,202220,69444,2014-04-29,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,140.60000000000002,137.95000000000002,140.65000000000003,137.50000000000003
BB1409.DCE,胶合板1409,140.9,141.8,143.2,140.2,142.0,139.6,140.6,23975172700.0,337652,75226,2014-04-30,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,141.80000000000004,140.90000000000003,143.20000000000002,140.20000000000002
BB1409.DCE,胶合板1409,141.6,143.85,143.9,141.05,142.8,142.0,141.8,18275989400.0,255960,93604,2014-05-05,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,143.85000000000002,141.60000000000002,143.90000000000003,141.05000000000004
BB1409.DCE,胶合板1409,143.6,145.3,145.45,143.45,144.35,142.8,143.85,20134056800.0,278870,108404,2014-05-06,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,145.3,143.6,145.45,143.45
BB1409.DCE,胶合板1409,144.95,142.6,145.95,141.9,143.7,144.35,145.3,26220966200.0,364836,98200,2014-05-07,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,142.60000000000002,144.95000000000002,145.95000000000002,141.90000000000003
BB1409.DCE,胶合板1409,142.6,143.3,143.65,141.35,142.5,143.7,142.6,25446623600.0,357074,100336,2014-05-08,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,143.30000000000004,142.60000000000002,143.65000000000003,141.35000000000002
BB1409.DCE,胶合板1409,143.5,140.35,143.85,139.95,141.65,142.5,143.3,25669164400.0,362356,94366,2014-05-09,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,140.35000000000002,143.50000000000003,143.85000000000002,139.95000000000002
BB1409.DCE,胶合板1409,140.4,140.95,141.55,139.7,140.8,141.65,140.35,16553091600.0,235086,82536,2014-05-12,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,140.95000000000002,140.40000000000003,141.55000000000004,139.70000000000002
BB1409.DCE,胶合板1409,141.0,138.45,141.4,138.15,139.35,140.8,140.95,20228848400.0,290308,86278,2014-05-13,BB,201409,500,0.05,BB,1,1.0,True,1,0,0,138.45000000000002,141.00000000000003,141.40000000000003,138.15000000000003
