code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
BU1609.SHF,沥青1609,2030.0,1996.0,2046.0,1972.0,1998.0,2072.0,2066.0,29839224800.0,1492678,943200,2016-05-03,BU,201609,10,2.0,BU,1,0.0,True,1,0,0,1996.0,2030.0,2046.0,1972.0
BU1609.SHF,沥青1609,1978.0,1970.0,1996.0,1962.0,1976.0,1998.0,1996.0,26435348500.0,1336884,955516,2016-05-04,BU,201609,10,2.0,BU,1,0.021739130434782608,True,1,0,0,1970.0000000000002,1978.0000000000005,1996.0000000000005,1962.0000000000005
BU1609.SHF,沥青1609,1986.0,1978.0,1996.0,1958.0,1980.0,1976.0,1970.0,26377783300.0,1331200,969338,2016-05-05,BU,201609,10,2.0,BU,1,0.043478260869565216,True,1,0,0,1978.0000000000002,1986.0000000000005,1996.0000000000005,1958.0000000000005
BU1609.SHF,沥青1609,2004.0,1926.0,2014.0,1912.0,1956.0,1980.0,1978.0,37864616000.0,1935576,953252,2016-05-06,BU,201609,10,2.0,BU,1,0.06521739130434782,True,1,0,0,1926.0,2004.0,2014.0,1912.0
BU1609.SHF,沥青1609,1922.0,1892.0,1952.0,1872.0,1912.0,1956.0,1926.0,32647225300.0,1707024,925410,2016-05-09,BU,201609,10,2.0,BU,1,0.08695652173913043,True,1,0,0,1892.0,1922.0,1952.0,1872.0
BU1609.SHF,沥青1609,1870.0,1898.0,1904.0,1852.0,1880.0,1912.0,1892.0,26778550300.0,1423906,843742,2016-05-10,BU,201609,10,2.0,BU,1,0.10869565217391304,True,1,0,0,1897.9999999999998,1869.9999999999998,1903.9999999999998,1851.9999999999998
BU1609.SHF,沥青1609,1902.0,1944.0,1954.0,1898.0,1930.0,1880.0,1898.0,32016576500.0,1658412,865578,2016-05-11,BU,201609,10,2.0,BU,1,0.13043478260869565,True,1,0,0,1943.9999999999995,1901.9999999999995,1953.9999999999995,1897.9999999999995
BU1609.SHF,沥青1609,1944.0,1970.0,1992.0,1922.0,1956.0,1930.0,1944.0,31869616100.0,1627936,889534,2016-05-12,BU,201609,10,2.0,BU,1,0.15217391304347827,True,1,0,0,1969.9999999999993,1943.9999999999993,1991.9999999999993,1921.9999999999993
BU1609.SHF,沥青1609,1978.0,1932.0,1998.0,1918.0,1954.0,1956.0,1970.0,41158885000.0,2105406,816534,2016-05-13,BU,201609,10,2.0,BU,1,0.17391304347826086,True,1,0,0,1931.9999999999993,1977.9999999999993,1997.9999999999993,1917.9999999999993
BU1609.SHF,沥青1609,1940.0,1986.0,1996.0,1912.0,1962.0,1954.0,1932.0,32737843200.0,1667746,826202,2016-05-16,BU,201609,10,2.0,BU,1,0.1956521739130435,True,1,0,0,1985.9999999999993,1939.9999999999993,1995.9999999999993,1911.9999999999993
BU1609.SHF,沥青1609,1994.0,2008.0,2032.0,1988.0,2010.0,1962.0,1986.0,34292457500.0,1705364,893662,2016-05-17,BU,201609,10,2.0,BU,1,0.21739130434782608,True,1,0,0,2007.9999999999993,1993.9999999999993,2031.9999999999993,1987.9999999999993
BU1609.SHF,沥青1609,1996.0,1984.0,2030.0,1968.0,2000.0,2010.0,2008.0,35883446000.0,1793446,853260,2016-05-18,BU,201609,10,2.0,BU,1,0.2391304347826087,True,1,0,0,1983.9999999999995,1995.9999999999995,2029.9999999999995,1967.9999999999995
BU1609.SHF,沥青1609,1982.0,1932.0,2018.0,1932.0,1982.0,2000.0,1984.0,36953666000.0,1864300,783242,2016-05-19,BU,201609,10,2.0,BU,1,0.2608695652173913,True,1,0,0,1931.9999999999995,1981.9999999999995,2017.9999999999995,1931.9999999999995
BU1609.SHF,沥青1609,1920.0,1944.0,1962.0,1896.0,1932.0,1982.0,1932.0,28330688500.0,1466336,771988,2016-05-20,BU,201609,10,2.0,BU,1,0.2826086956521739,True,1,0,0,1943.9999999999993,1919.9999999999993,1961.9999999999993,1895.9999999999993
BU1609.SHF,沥青1609,1938.0,1860.0,1954.0,1818.0,1880.0,1932.0,1944.0,33210114000.0,1765104,677140,2016-05-23,BU,201609,10,2.0,BU,1,0.30434782608695654,True,1,0,0,1859.9999999999993,1937.9999999999993,1953.9999999999993,1817.9999999999993
BU1609.SHF,沥青1609,1848.0,1832.0,1878.0,1824.0,1848.0,1880.0,1860.0,25980129300.0,1405162,685886,2016-05-24,BU,201609,10,2.0,BU,1,0.32608695652173914,True,1,0,0,1831.9999999999995,1847.9999999999995,1877.9999999999995,1823.9999999999995
BU1609.SHF,沥青1609,1850.0,1870.0,1878.0,1842.0,1860.0,1848.0,1832.0,22146058200.0,1190562,671968,2016-05-25,BU,201609,10,2.0,BU,1,0.34782608695652173,True,1,0,0,1869.9999999999993,1849.9999999999993,1877.9999999999993,1841.9999999999993
BU1609.SHF,沥青1609,1872.0,1884.0,1898.0,1860.0,1878.0,1860.0,1870.0,23791626200.0,1266334,681192,2016-05-26,BU,201609,10,2.0,BU,1,0.3695652173913043,True,1,0,0,1883.9999999999995,1871.9999999999995,1897.9999999999995,1859.9999999999995
BU1609.SHF,沥青1609,1896.0,1836.0,1896.0,1832.0,1854.0,1878.0,1884.0,26667591700.0,1437378,764626,2016-05-27,BU,201609,10,2.0,BU,1,0.391304347826087,True,1,0,0,1835.9999999999993,1895.9999999999993,1895.9999999999993,1831.9999999999993
BU1609.SHF,沥青1609,1828.0,1854.0,1866.0,1822.0,1846.0,1854.0,1836.0,19250008100.0,1042176,752956,2016-05-30,BU,201609,10,2.0,BU,1,0.41304347826086957,True,1,0,0,1853.9999999999993,1827.9999999999993,1865.9999999999993,1821.9999999999993
BU1609.SHF,沥青1609,1858.0,1860.0,1890.0,1850.0,1870.0,1846.0,1854.0,20351678500.0,1087928,734676,2016-05-31,BU,201609,10,2.0,BU,1,0.43478260869565216,True,1,0,0,1859.9999999999995,1857.9999999999995,1889.9999999999995,1849.9999999999995
BU1609.SHF,沥青1609,1862.0,1828.0,1874.0,1812.0,1844.0,1870.0,1860.0,24769079300.0,1342288,819256,2016-06-01,BU,201609,10,2.0,BU,1,0.45652173913043476,True,1,0,0,1827.9999999999995,1861.9999999999995,1873.9999999999995,1811.9999999999995
BU1609.SHF,沥青1609,1830.0,1856.0,1868.0,1820.0,1846.0,1844.0,1828.0,15546454000.0,841390,769240,2016-06-02,BU,201609,10,2.0,BU,1,0.4782608695652174,True,1,0,0,1855.9999999999995,1829.9999999999995,1867.9999999999995,1819.9999999999995
BU1609.SHF,沥青1609,1850.0,1876.0,1882.0,1840.0,1860.0,1846.0,1856.0,14254322700.0,765912,745278,2016-06-03,BU,201609,10,2.0,BU,1,0.5,True,1,0,0,1875.9999999999995,1849.9999999999995,1881.9999999999995,1839.9999999999995
BU1609.SHF,沥青1609,1880.0,1914.0,1914.0,1856.0,1886.0,1860.0,1876.0,17850691600.0,946152,701370,2016-06-06,BU,201609,10,2.0,BU,1,0.5217391304347826,True,1,0,0,1913.9999999999995,1879.9999999999995,1913.9999999999995,1855.9999999999995
BU1609.SHF,沥青1609,1924.0,1922.0,1928.0,1894.0,1912.0,1886.0,1914.0,16992792600.0,888074,691452,2016-06-07,BU,201609,10,2.0,BU,1,0.5434782608695652,True,1,0,0,1921.9999999999998,1923.9999999999998,1927.9999999999998,1893.9999999999998
BU1609.SHF,沥青1609,1928.0,1912.0,1932.0,1900.0,1914.0,1912.0,1922.0,12489198600.0,651898,667696,2016-06-08,BU,201609,10,2.0,BU,1,0.5652173913043478,True,1,0,0,1911.9999999999998,1927.9999999999998,1931.9999999999998,1899.9999999999998
BU1609.SHF,沥青1609,1876.0,1918.0,1928.0,1866.0,1906.0,1914.0,1912.0,10480420900.0,549430,676732,2016-06-13,BU,201609,10,2.0,BU,1,0.5869565217391305,True,1,0,0,1917.9999999999998,1875.9999999999998,1927.9999999999998,1865.9999999999998
BU1609.SHF,沥青1609,1914.0,1936.0,1964.0,1910.0,1938.0,1906.0,1918.0,20614000600.0,1063158,674708,2016-06-14,BU,201609,10,2.0,BU,1,0.6086956521739131,True,1,0,0,1935.9999999999998,1913.9999999999998,1963.9999999999998,1909.9999999999998
BU1609.SHF,沥青1609,1936.0,1930.0,1956.0,1900.0,1924.0,1938.0,1936.0,16782691300.0,871700,664092,2016-06-15,BU,201609,10,2.0,BU,1,0.6304347826086957,True,1,0,0,1930.0,1936.0,1956.0,1900.0
BU1609.SHF,沥青1609,1934.0,1922.0,1940.0,1916.0,1926.0,1924.0,1930.0,14449624100.0,749784,654102,2016-06-16,BU,201609,10,2.0,BU,1,0.6521739130434783,True,1,0,0,1921.9999999999998,1933.9999999999998,1939.9999999999998,1915.9999999999998
BU1609.SHF,沥青1609,1914.0,1924.0,1926.0,1882.0,1902.0,1926.0,1922.0,16955750400.0,891420,670912,2016-06-17,BU,201609,10,2.0,BU,1,0.6739130434782609,True,1,0,0,1923.9999999999998,1913.9999999999998,1925.9999999999998,1881.9999999999998
BU1609.SHF,沥青1609,1932.0,1990.0,1992.0,1922.0,1964.0,1902.0,1924.0,22391748600.0,1139642,706354,2016-06-20,BU,201609,10,2.0,BU,1,0.6956521739130435,True,1,0,0,1989.9999999999998,1931.9999999999998,1991.9999999999998,1921.9999999999998
BU1609.SHF,沥青1609,1998.0,1972.0,2008.0,1964.0,1986.0,1964.0,1990.0,17191594000.0,865556,673328,2016-06-21,BU,201609,10,2.0,BU,1,0.717391304347826,True,1,0,0,1971.9999999999998,1997.9999999999998,2007.9999999999998,1963.9999999999998
BU1609.SHF,沥青1609,1962.0,2026.0,2026.0,1952.0,1996.0,1986.0,1972.0,20479023100.0,1025850,757850,2016-06-22,BU,201609,10,2.0,BU,1,0.7391304347826086,True,1,0,0,2025.9999999999998,1961.9999999999998,2025.9999999999998,1951.9999999999998
BU1609.SHF,沥青1609,2020.0,2018.0,2040.0,2006.0,2020.0,1996.0,2026.0,21154390000.0,1046456,765542,2016-06-23,BU,201609,10,2.0,BU,1,0.7608695652173914,True,1,0,0,2018.0,2020.0,2040.0,2006.0
BU1609.SHF,沥青1609,2030.0,1970.0,2046.0,1966.0,2002.0,2020.0,2018.0,28883296300.0,1441306,671236,2016-06-24,BU,201609,10,2.0,BU,1,0.782608695652174,True,1,0,0,1970.0,2030.0,2046.0,1966.0
BU1609.SHF,沥青1609,1974.0,2028.0,2030.0,1968.0,1998.0,2002.0,1970.0,19040669700.0,952414,697124,2016-06-27,BU,201609,10,2.0,BU,1,0.8043478260869565,True,1,0,0,2027.9999999999998,1973.9999999999998,2029.9999999999998,1967.9999999999998
BU1609.SHF,沥青1609,2006.0,2022.0,2036.0,1982.0,2012.0,1998.0,2028.0,23290470400.0,1157080,743560,2016-06-28,BU,201609,10,2.0,BU,1,0.8260869565217391,True,1,0,0,2021.9999999999998,2005.9999999999998,2035.9999999999998,1981.9999999999998
BU1609.SHF,沥青1609,2036.0,2060.0,2072.0,2024.0,2046.0,2012.0,2022.0,35375555000.0,1727864,785108,2016-06-29,BU,201609,10,2.0,BU,1,0.8478260869565217,True,1,0,0,2060.0,2036.0,2072.0,2024.0
BU1609.SHF,沥青1609,2066.0,2082.0,2116.0,2050.0,2078.0,2046.0,2060.0,30343774200.0,1459324,743532,2016-06-30,BU,201609,10,2.0,BU,1,0.8695652173913043,True,1,0,0,2082.0,2066.0,2116.0,2050.0
BU1609.SHF,沥青1609,2066.0,2040.0,2088.0,2036.0,2068.0,2078.0,2082.0,21820205100.0,1054538,708772,2016-07-01,BU,201609,10,2.0,BU,1,0.8913043478260869,True,1,0,0,2040.0,2066.0,2088.0,2036.0
BU1609.SHF,沥青1609,2040.0,2136.0,2154.0,2038.0,2106.0,2068.0,2040.0,39653732000.0,1881130,734030,2016-07-04,BU,201609,10,2.0,BU,1,0.9130434782608695,True,1,0,0,2136.0000000000005,2040.0000000000005,2154.0000000000005,2038.0000000000005
BU1609.SHF,沥青1609,2140.0,2032.0,2152.0,2000.0,2074.0,2106.0,2136.0,35333411000.0,1702278,693486,2016-07-05,BU,201609,10,2.0,BU,1,0.9347826086956522,True,1,0,0,2032.0000000000005,2140.0000000000005,2152.0000000000005,2000.0000000000005
BU1609.SHF,沥青1609,2020.0,1952.0,2044.0,1948.0,1986.0,2074.0,2032.0,31205398500.0,1570612,675064,2016-07-06,BU,201609,10,2.0,BU,1,0.9565217391304348,True,1,0,0,1952.0000000000005,2020.0000000000005,2044.0000000000005,1948.0000000000005
BU1609.SHF,沥青1609,1940.0,1952.0,1988.0,1936.0,1966.0,1986.0,1952.0,18417125400.0,936470,638988,2016-07-07,BU,201609,10,2.0,BU,1,0.9782608695652174,True,1,0,0,1952.0000000000005,1940.0000000000005,1988.0000000000005,1936.0000000000005
