code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
CJ2001.CZC,红枣2001,11160.0,11105.0,11175.0,11010.0,11090.0,11100.0,11185.0,6845150400.0,123456,85094,2019-11-18,CJ,202001,5,5.0,CJ,1,0.0,True,3,0,0,11105.0,11160.0,11175.0,11010.0
CJ2001.CZC,红枣2001,11110.0,10930.0,11110.0,10790.0,10905.0,11090.0,11105.0,10473563400.0,192104,77728,2019-11-19,CJ,202001,5,5.0,CJ,1,0.08333333333333333,True,3,0,0,10930.0,11110.0,11110.0,10790.0
CJ2001.CZC,红枣2001,10930.0,11065.0,11080.0,10850.0,10990.0,10905.0,10930.0,6453482400.0,117456,79454,2019-11-20,CJ,202001,5,5.0,CJ,1,0.16666666666666666,True,3,0,0,11065.0,10930.0,11080.0,10850.0
CJ2001.CZC,红枣2001,11050.0,10960.0,11050.0,10910.0,10960.0,10990.0,11065.0,5456565100.0,99564,72500,2019-11-21,CJ,202001,5,5.0,CJ,1,0.25,True,3,0,0,10960.000000000002,11050.000000000002,11050.000000000002,10910.000000000002
CJ2001.CZC,红枣2001,10930.0,10885.0,10955.0,10765.0,10860.0,10960.0,10960.0,6780784500.0,124860,72198,2019-11-22,CJ,202001,5,5.0,CJ,1,0.3333333333333333,True,3,0,0,10885.000000000002,10930.000000000002,10955.000000000002,10765.000000000002
CJ2001.CZC,红枣2001,10860.0,10915.0,10915.0,10765.0,10850.0,10860.0,10885.0,5374270000.0,99068,62688,2019-11-25,CJ,202001,5,5.0,CJ,1,0.4166666666666667,True,3,0,0,10915.000000000002,10860.000000000002,10915.000000000002,10765.000000000002
CJ2001.CZC,红枣2001,10875.0,10870.0,10925.0,10825.0,10860.0,10850.0,10915.0,4414370500.0,81284,61922,2019-11-26,CJ,202001,5,5.0,CJ,1,0.5,True,3,0,0,10870.000000000002,10875.000000000002,10925.000000000002,10825.000000000002
CJ2001.CZC,红枣2001,10870.0,10805.0,10965.0,10755.0,10855.0,10860.0,10870.0,6362750900.0,117230,59218,2019-11-27,CJ,202001,5,5.0,CJ,1,0.5,True,3,0,0,10805.000000000002,10870.000000000002,10965.000000000002,10755.000000000002
CJ2001.CZC,红枣2001,10800.0,10875.0,10890.0,10795.0,10850.0,10855.0,10805.0,3887771900.0,71666,51846,2019-11-28,CJ,202001,5,5.0,CJ,1,0.5833333333333334,True,3,0,0,10875.000000000002,10800.000000000002,10890.000000000002,10795.000000000002
CJ2001.CZC,红枣2001,10885.0,11070.0,11110.0,10810.0,10925.0,10850.0,10875.0,7692175000.0,140840,46828,2019-11-29,CJ,202001,5,5.0,CJ,1,0.6666666666666666,True,3,0,0,11070.000000000002,10885.000000000002,11110.000000000002,10810.000000000002
CJ2001.CZC,红枣2001,11045.0,10930.0,11090.0,10925.0,11005.0,10925.0,11070.0,4107213200.0,74658,34354,2019-12-02,CJ,202001,5,5.0,CJ,1,0.75,True,3,0,0,10930.0,11045.0,11090.0,10925.0
CJ2001.CZC,红枣2001,10935.0,10950.0,10995.0,10925.0,10965.0,11005.0,10930.0,1689556800.0,30822,31828,2019-12-03,CJ,202001,5,5.0,CJ,-1,0.75,True,3,0,0,10950.0,10935.0,10995.0,10925.0
CJ2001.CZC,红枣2001,10940.0,10910.0,10980.0,10810.0,10890.0,10965.0,10950.0,2754308600.0,50590,26324,2019-12-04,CJ,202001,5,5.0,CJ,1,0.8333333333333334,True,3,1,0,10910.0,10940.0,10980.0,10810.0
CJ2005.CZC,红枣2005,10885.0,10795.0,10875.0,10785.0,10825.0,10875.0,10885.0,2202684600.0,40690,51350,2019-12-05,CJ,202005,5,5.0,CJ,-1,0.8333333333333334,True,3,0,1,10819.793293523198,10910.000000000002,10899.97703261369,10809.770326136886
CJ2005.CZC,红枣2005,10780.0,10840.0,10870.0,10580.0,10740.0,10825.0,10795.0,6557830800.0,122126,58264,2019-12-06,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10864.8966467616,10804.75884244373,10894.965548920534,10604.299494717503
CJ2005.CZC,红枣2005,10850.0,10855.0,11045.0,10770.0,10890.0,10740.0,10840.0,6049145600.0,111070,58538,2019-12-09,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10879.931097841069,10874.919614147913,11070.367478180986,10794.735875057422
CJ2005.CZC,红枣2005,10890.0,10805.0,10910.0,10805.0,10860.0,10890.0,10855.0,3193638400.0,58806,56566,2019-12-10,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10829.81626090951,10915.011483693157,10935.05741846578,10829.816260909509
CJ2005.CZC,红枣2005,10800.0,10810.0,10920.0,10780.0,10855.0,10860.0,10805.0,4400731800.0,81082,59280,2019-12-11,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10834.827744602664,10824.804777216352,10945.080385852089,10804.758842443729
CJ2005.CZC,红枣2005,10810.0,10875.0,10890.0,10805.0,10855.0,10855.0,10810.0,3179117000.0,58586,58398,2019-12-12,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10899.97703261369,10834.827744602666,10915.011483693157,10829.816260909509
CJ2005.CZC,红枣2005,10870.0,10870.0,10895.0,10770.0,10850.0,10855.0,10875.0,4269144400.0,78712,58332,2019-12-13,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10894.965548920532,10894.965548920532,10920.02296738631,10794.735875057417
CJ2005.CZC,红枣2005,10910.0,10895.0,10980.0,10835.0,10905.0,10850.0,10870.0,4277721500.0,78450,60022,2019-12-16,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10920.022967386312,10935.05741846578,11005.21819016996,10859.885163068444
CJ2005.CZC,红枣2005,10890.0,10860.0,10930.0,10860.0,10895.0,10905.0,10895.0,2812451700.0,51624,57780,2019-12-17,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10884.942581534222,10915.011483693157,10955.103353238403,10884.942581534222
CJ2005.CZC,红枣2005,10860.0,10835.0,10880.0,10740.0,10820.0,10895.0,10860.0,5371050100.0,99274,64402,2019-12-18,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10859.885163068444,10884.942581534222,10904.988516306845,10764.666972898485
CJ2005.CZC,红枣2005,10855.0,10860.0,10870.0,10790.0,10825.0,10820.0,10835.0,3016591900.0,55726,62952,2019-12-19,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10884.942581534222,10879.931097841067,10894.965548920534,10814.781809830043
CJ2005.CZC,红枣2005,10865.0,10905.0,10925.0,10840.0,10890.0,10825.0,10860.0,4054867600.0,74486,62508,2019-12-20,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10930.045934772625,10889.954065227379,10950.091869545247,10864.8966467616
CJ2005.CZC,红枣2005,10910.0,10810.0,10950.0,10810.0,10865.0,10890.0,10905.0,4115751300.0,75746,62524,2019-12-23,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10834.827744602666,10935.05741846578,10975.149288011025,10834.827744602666
CJ2005.CZC,红枣2005,10810.0,10775.0,10830.0,10720.0,10770.0,10865.0,10810.0,4189156500.0,77782,64960,2019-12-24,CJ,202005,5,5.0,CJ,1,0.8333333333333334,True,3,0,0,10799.747358750576,10834.827744602666,10854.873679375289,10744.621038125862
CJ2005.CZC,红枣2005,10785.0,10800.0,10825.0,10710.0,10775.0,10770.0,10775.0,2513158500.0,46656,63096,2019-12-25,CJ,202005,5,5.0,CJ,-1,0.75,True,3,0,0,10824.804777216355,10809.77032613689,10849.862195682135,10734.598070739554
CJ2005.CZC,红枣2005,10830.0,10835.0,10875.0,10775.0,10825.0,10775.0,10800.0,2692790200.0,49760,60760,2019-12-26,CJ,202005,5,5.0,CJ,-1,0.6666666666666666,True,3,0,0,10859.885163068444,10854.873679375289,10899.97703261369,10799.747358750576
CJ2005.CZC,红枣2005,10830.0,10875.0,10890.0,10800.0,10865.0,10825.0,10835.0,2470987900.0,45494,59390,2019-12-27,CJ,202005,5,5.0,CJ,-1,0.5833333333333334,True,3,0,0,10899.977032613688,10854.873679375285,10915.011483693155,10824.804777216352
CJ2005.CZC,红枣2005,10875.0,10900.0,11015.0,10800.0,10875.0,10865.0,10875.0,5898791700.0,108482,58066,2019-12-30,CJ,202005,5,5.0,CJ,1,0.5833333333333334,True,3,0,0,10925.034451079466,10899.977032613688,11040.298576022047,10824.804777216352
CJ2005.CZC,红枣2005,10880.0,10915.0,10960.0,10840.0,10895.0,10875.0,10900.0,4769168500.0,87534,59572,2019-12-31,CJ,202005,5,5.0,CJ,1,0.5833333333333334,True,3,0,0,10940.068902158933,10904.988516306843,10985.172255397334,10864.896646761597
CJ005,CJ005,10940.0,10930.0,10960.0,10880.0,10925.0,10895.0,10915.0,276184000.0,25280,31370,2020-01-02,CJ,202005,5,5.0,CJ,-1,0.5,True,3,0,0,10955.103353238399,10965.126320624711,10985.172255397334,10904.988516306843
CJ005,CJ005,10930.0,10905.0,10970.0,10860.0,10915.0,10925.0,10930.0,354333645.0,32463,30415,2020-01-03,CJ,202005,5,5.0,CJ,-1,0.4166666666666667,True,3,0,0,10930.045934772621,10955.1033532384,10995.195222783646,10884.94258153422
CJ005,CJ005,10880.0,10800.0,10935.0,10745.0,10835.0,10915.0,10905.0,676959965.0,62479,31723,2020-01-06,CJ,202005,5,5.0,CJ,1,0.4166666666666667,True,3,0,0,10824.80477721635,10904.988516306841,10960.114836931554,10769.678456591637
CJ005,CJ005,10815.0,10480.0,10830.0,10420.0,10585.0,10835.0,10800.0,1386380960.0,130976,45142,2020-01-07,CJ,202005,5,5.0,CJ,1,0.5,True,3,0,0,10504.069820854384,10839.839228295816,10854.873679375283,10443.932016536515
CJ005,CJ005,10490.0,10440.0,10530.0,10335.0,10420.0,10585.0,10480.0,750385880.0,72014,45842,2020-01-08,CJ,202005,5,5.0,CJ,1,0.5,True,3,0,0,10463.977951309138,10514.092788240694,10554.18465778594,10358.736793752867
CJ005,CJ005,10435.0,10405.0,10490.0,10370.0,10435.0,10420.0,10440.0,454475555.0,43553,45150,2020-01-09,CJ,202005,5,5.0,CJ,-1,0.5,True,3,0,0,10428.897565457048,10458.966467615981,10514.092788240694,10393.817179604957
CJ005,CJ005,10300.0,10475.0,10490.0,10115.0,10320.0,10435.0,10405.0,1430506800.0,138615,45564,2020-01-10,CJ,202005,5,5.0,CJ,1,0.5,True,3,0,0,10499.058337161227,10323.656407900777,10514.092788240694,10138.231511254016
CJ005,CJ005,10515.0,10425.0,10585.0,10360.0,10440.0,10320.0,10475.0,509472000.0,48800,42507,2020-01-13,CJ,202005,5,5.0,CJ,-1,0.4166666666666667,True,3,0,0,10448.94350022967,10539.150206706474,10609.310978410653,10383.794212218647
CJ005,CJ005,10425.0,10480.0,10555.0,10355.0,10460.0,10440.0,10425.0,518774160.0,49596,40457,2020-01-14,CJ,202005,5,5.0,CJ,-1,0.3333333333333333,True,3,0,0,10504.069820854384,10448.94350022967,10579.24207625172,10378.78272852549
CJ005,CJ005,10520.0,10510.0,10545.0,10405.0,10490.0,10460.0,10480.0,468357520.0,44648,39172,2020-01-15,CJ,202005,5,5.0,CJ,-1,0.25,True,3,0,0,10534.138723013317,10544.16169039963,10569.219108865407,10428.897565457048
