code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
EG1906.DCE,乙二醇1906,5139.0,5156.0,5176.0,5117.0,5151.0,5182.0,5159.0,21819363260.0,423536,292188,2019-01-18,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5156.0,5139.0,5176.0,5117.0
EG1906.DCE,乙二醇1906,5219.0,5273.0,5323.0,5188.0,5262.0,5151.0,5156.0,37509877560.0,712792,309752,2019-01-21,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5273.0,5219.0,5323.0,5188.0
EG1906.DCE,乙二醇1906,5273.0,5277.0,5457.0,5260.0,5340.0,5262.0,5273.0,39994233480.0,748844,302068,2019-01-22,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5276.999999999999,5272.999999999999,5456.999999999999,5259.999999999999
EG1906.DCE,乙二醇1906,5240.0,5254.0,5280.0,5222.0,5248.0,5340.0,5277.0,18624601000.0,354886,306168,2019-01-23,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5253.999999999998,5239.999999999998,5279.999999999998,5221.999999999998
EG1906.DCE,乙二醇1906,5239.0,5245.0,5273.0,5206.0,5241.0,5248.0,5254.0,17222926940.0,328568,307090,2019-01-24,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5244.999999999997,5238.999999999997,5272.999999999997,5205.999999999997
EG1906.DCE,乙二醇1906,5275.0,5234.0,5323.0,5232.0,5287.0,5241.0,5245.0,22206166820.0,419960,301096,2019-01-25,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5233.999999999998,5274.999999999998,5322.999999999998,5231.999999999998
EG1906.DCE,乙二醇1906,5254.0,5180.0,5264.0,5175.0,5220.0,5287.0,5234.0,17497264100.0,335164,298810,2019-01-28,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5179.999999999998,5253.999999999998,5263.999999999998,5174.999999999998
EG1906.DCE,乙二醇1906,5150.0,5157.0,5198.0,5136.0,5168.0,5220.0,5180.0,12960264520.0,250738,289038,2019-01-29,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5156.999999999998,5149.999999999998,5197.999999999998,5135.999999999998
EG1906.DCE,乙二醇1906,5181.0,5207.0,5239.0,5171.0,5201.0,5168.0,5157.0,13663026220.0,262654,262456,2019-01-30,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5206.999999999998,5180.999999999998,5238.999999999998,5170.999999999998
EG1906.DCE,乙二醇1906,5230.0,5279.0,5289.0,5229.0,5266.0,5201.0,5207.0,11579541040.0,219892,247472,2019-01-31,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5278.999999999998,5229.999999999998,5288.999999999998,5228.999999999998
EG1906.DCE,乙二醇1906,5290.0,5322.0,5330.0,5265.0,5295.0,5266.0,5279.0,9362923360.0,176824,237182,2019-02-01,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5321.999999999997,5289.999999999997,5329.999999999997,5264.999999999997
EG1906.DCE,乙二醇1906,5295.0,5223.0,5299.0,5216.0,5248.0,5295.0,5322.0,8917040840.0,169888,259174,2019-02-11,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5222.999999999998,5294.999999999998,5298.999999999998,5215.999999999998
EG1906.DCE,乙二醇1906,5245.0,5234.0,5274.0,5228.0,5246.0,5248.0,5223.0,10498608400.0,200108,280820,2019-02-12,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5233.999999999998,5244.999999999998,5273.999999999998,5227.999999999998
EG1906.DCE,乙二醇1906,5200.0,5162.0,5225.0,5151.0,5184.0,5246.0,5234.0,13616937520.0,262640,307852,2019-02-13,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5161.999999999998,5199.999999999998,5224.999999999998,5150.999999999998
EG1906.DCE,乙二醇1906,5173.0,5170.0,5195.0,5135.0,5164.0,5184.0,5162.0,10083318600.0,195240,324364,2019-02-14,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5169.999999999997,5172.999999999997,5194.999999999997,5134.999999999997
EG1906.DCE,乙二醇1906,5159.0,5131.0,5180.0,5092.0,5130.0,5164.0,5170.0,13177291920.0,256836,321754,2019-02-15,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5130.999999999997,5158.999999999997,5179.999999999997,5091.999999999997
EG1906.DCE,乙二醇1906,5170.0,5039.0,5184.0,5032.0,5096.0,5130.0,5131.0,20614583960.0,404514,368074,2019-02-18,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5038.999999999997,5169.999999999997,5183.999999999997,5031.999999999997
EG1906.DCE,乙二醇1906,5046.0,5064.0,5074.0,5007.0,5041.0,5096.0,5039.0,13976002080.0,277240,362742,2019-02-19,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5063.999999999998,5045.999999999998,5073.999999999998,5006.999999999998
EG1906.DCE,乙二醇1906,5069.0,5054.0,5082.0,5044.0,5064.0,5041.0,5064.0,9242971220.0,182498,363642,2019-02-20,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5053.999999999998,5068.999999999998,5081.999999999998,5043.999999999998
EG1906.DCE,乙二醇1906,5104.0,5123.0,5148.0,5084.0,5115.0,5064.0,5054.0,15520294040.0,303410,346554,2019-02-21,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5122.999999999998,5103.999999999998,5147.999999999998,5083.999999999998
EG1906.DCE,乙二醇1906,5123.0,5142.0,5169.0,5116.0,5145.0,5115.0,5123.0,9943930900.0,193264,341144,2019-02-22,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5141.999999999998,5122.999999999998,5168.999999999998,5115.999999999998
EG1906.DCE,乙二醇1906,5157.0,5135.0,5187.0,5120.0,5152.0,5145.0,5142.0,8945725780.0,173616,340768,2019-02-25,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5134.999999999998,5156.999999999998,5186.999999999998,5119.999999999998
EG1906.DCE,乙二醇1906,5098.0,5158.0,5168.0,5084.0,5144.0,5152.0,5135.0,9152853160.0,177922,335696,2019-02-26,EG,201906,10,1.0,EG,1,1.0,True,1,0,0,5157.999999999998,5097.999999999998,5167.999999999998,5083.999999999998
