code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
FB1409.DCE,纤维板1409,63.15,63.7,64.75,62.6,63.95,63.35,63.2,9535165000.0,298076,83482,2014-04-21,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.7,63.15,64.75,62.6
FB1409.DCE,纤维板1409,63.6,63.55,64.1,63.05,63.5,63.95,63.7,4747470200.0,149488,84488,2014-04-22,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.55,63.6,64.1,63.05
FB1409.DCE,纤维板1409,63.65,63.4,63.9,63.0,63.4,63.5,63.55,4217581400.0,133022,82436,2014-04-23,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.400000000000006,63.65000000000001,63.90000000000001,63.000000000000014
FB1409.DCE,纤维板1409,63.6,63.5,63.85,63.15,63.45,63.4,63.4,3703209200.0,116708,85488,2014-04-24,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.50000000000001,63.600000000000016,63.850000000000016,63.15000000000001
FB1409.DCE,纤维板1409,63.6,63.55,64.1,63.35,63.6,63.45,63.5,2999291200.0,94282,79624,2014-04-25,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.55,63.6,64.1,63.35
FB1409.DCE,纤维板1409,63.45,63.4,63.8,62.3,63.3,63.6,63.55,3772470600.0,119102,79834,2014-04-28,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.400000000000006,63.45000000000002,63.80000000000001,62.30000000000001
FB1409.DCE,纤维板1409,63.5,62.9,63.8,62.8,63.2,63.3,63.4,3522078700.0,111394,88830,2014-04-29,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,62.900000000000006,63.500000000000014,63.80000000000001,62.80000000000001
FB1409.DCE,纤维板1409,62.7,62.8,63.2,62.45,62.8,63.2,62.9,4340432600.0,138162,84380,2014-04-30,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,62.800000000000004,62.70000000000002,63.20000000000002,62.45000000000002
FB1409.DCE,纤维板1409,62.7,63.65,63.8,62.7,63.45,62.8,62.8,4081572000.0,128622,82876,2014-05-05,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.65,62.7,63.8,62.7
FB1409.DCE,纤维板1409,63.8,63.35,64.35,63.35,63.9,63.45,63.65,4366046400.0,136648,86620,2014-05-06,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.349999999999994,63.79999999999999,64.34999999999998,63.349999999999994
FB1409.DCE,纤维板1409,63.3,63.15,63.65,63.0,63.25,63.9,63.35,3007951500.0,95074,79672,2014-05-07,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,63.15,63.3,63.65,63.0
FB1409.DCE,纤维板1409,63.15,62.85,63.35,62.0,62.7,63.25,63.15,6298680000.0,200836,82318,2014-05-08,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,62.85,63.15,63.35,62.0
FB1409.DCE,纤维板1409,62.95,61.85,63.05,61.8,62.3,62.7,62.85,4099752600.0,131558,104040,2014-05-09,FB,201409,500,0.05,FB,1,1.0,True,1,0,0,61.85,62.95,63.05,61.8
