code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
FG1309.CZC,玻璃1309,1395.0,1419.0,1424.0,1385.0,1406.0,1395.0,1397.0,72362635600.0,2573970,501080,2013-05-10,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1419.0,1395.0,1424.0,1385.0
FG1309.CZC,玻璃1309,1419.0,1435.0,1447.0,1415.0,1431.0,1406.0,1419.0,66733470000.0,2332198,513554,2013-05-13,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1434.9999999999998,1418.9999999999998,1446.9999999999998,1414.9999999999998
FG1309.CZC,玻璃1309,1438.0,1429.0,1445.0,1422.0,1433.0,1431.0,1435.0,64004105900.0,2232954,509320,2013-05-14,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1428.9999999999998,1437.9999999999998,1444.9999999999998,1421.9999999999998
FG1309.CZC,玻璃1309,1432.0,1407.0,1432.0,1404.0,1418.0,1433.0,1429.0,76761458800.0,2706546,492316,2013-05-15,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1406.9999999999998,1431.9999999999998,1431.9999999999998,1403.9999999999998
FG1309.CZC,玻璃1309,1405.0,1437.0,1450.0,1395.0,1426.0,1418.0,1407.0,115171000000.0,4038712,538616,2013-05-16,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1437.0,1405.0,1450.0,1395.0
FG1309.CZC,玻璃1309,1441.0,1454.0,1458.0,1432.0,1446.0,1426.0,1437.0,79725314400.0,2757190,534458,2013-05-17,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1454.0,1441.0,1458.0,1432.0
FG1309.CZC,玻璃1309,1452.0,1445.0,1460.0,1443.0,1450.0,1446.0,1454.0,57121837000.0,1970150,521374,2013-05-20,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1445.0,1452.0,1460.0,1443.0
FG1309.CZC,玻璃1309,1449.0,1458.0,1460.0,1439.0,1450.0,1450.0,1445.0,61452077900.0,2118686,524384,2013-05-21,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1457.9999999999998,1448.9999999999998,1459.9999999999998,1438.9999999999998
FG1309.CZC,玻璃1309,1456.0,1457.0,1466.0,1453.0,1459.0,1450.0,1458.0,52883010600.0,1812564,530554,2013-05-22,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1456.9999999999998,1455.9999999999998,1465.9999999999998,1452.9999999999998
FG1309.CZC,玻璃1309,1450.0,1428.0,1452.0,1426.0,1438.0,1459.0,1457.0,55357321900.0,1924430,514696,2013-05-23,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1427.9999999999998,1449.9999999999998,1451.9999999999998,1425.9999999999998
FG1309.CZC,玻璃1309,1435.0,1427.0,1438.0,1421.0,1430.0,1438.0,1428.0,47748299000.0,1670080,496494,2013-05-24,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1427.0,1435.0,1438.0,1421.0
FG1309.CZC,玻璃1309,1420.0,1428.0,1439.0,1414.0,1429.0,1430.0,1427.0,51354102200.0,1797006,487158,2013-05-27,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1427.9999999999998,1419.9999999999998,1438.9999999999998,1413.9999999999998
FG1309.CZC,玻璃1309,1431.0,1437.0,1437.0,1417.0,1426.0,1429.0,1428.0,43385667200.0,1521608,482992,2013-05-28,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1436.9999999999995,1430.9999999999995,1436.9999999999995,1416.9999999999995
FG1309.CZC,玻璃1309,1435.0,1426.0,1446.0,1425.0,1438.0,1426.0,1437.0,41180501600.0,1431734,434366,2013-05-29,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1425.9999999999998,1434.9999999999998,1445.9999999999998,1424.9999999999998
FG1309.CZC,玻璃1309,1422.0,1400.0,1422.0,1386.0,1401.0,1438.0,1426.0,71989646800.0,2569446,470050,2013-05-30,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1399.9999999999998,1421.9999999999998,1421.9999999999998,1385.9999999999998
FG1309.CZC,玻璃1309,1408.0,1382.0,1411.0,1381.0,1400.0,1401.0,1400.0,46049699400.0,1644150,450006,2013-05-31,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1381.9999999999998,1407.9999999999998,1410.9999999999998,1380.9999999999998
FG1309.CZC,玻璃1309,1390.0,1393.0,1398.0,1378.0,1389.0,1400.0,1382.0,54374600600.0,1957408,434436,2013-06-03,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1392.9999999999998,1389.9999999999998,1397.9999999999998,1377.9999999999998
FG1309.CZC,玻璃1309,1397.0,1434.0,1434.0,1393.0,1412.0,1389.0,1393.0,73355049100.0,2598366,541402,2013-06-04,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1433.9999999999995,1396.9999999999995,1433.9999999999995,1392.9999999999995
FG1309.CZC,玻璃1309,1434.0,1446.0,1462.0,1429.0,1443.0,1412.0,1434.0,79372918600.0,2750740,479502,2013-06-05,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1445.9999999999995,1433.9999999999995,1461.9999999999995,1428.9999999999995
FG1309.CZC,玻璃1309,1439.0,1429.0,1446.0,1420.0,1435.0,1443.0,1446.0,70600763800.0,2460664,449068,2013-06-06,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1428.9999999999993,1438.9999999999993,1445.9999999999993,1419.9999999999993
FG1309.CZC,玻璃1309,1432.0,1430.0,1442.0,1408.0,1424.0,1435.0,1429.0,79378790500.0,2787572,371592,2013-06-07,FG,201309,20,1.0,FG,1,1.0,True,1,0,0,1429.9999999999993,1431.9999999999993,1441.9999999999993,1407.9999999999993
