code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
FU1103.SHF,燃油1103,4770.0,4795.0,4809.0,4755.0,4781.0,4718.0,4744.0,6433148800.0,134556,71202,2010-11-30,FU,201103,10,1.0,FU,1,0.0,True,1,0,0,4795.0,4770.0,4809.0,4755.0
FU1103.SHF,燃油1103,4752.0,4769.0,4788.0,4743.0,4763.0,4781.0,4795.0,3806441600.0,79902,69990,2010-12-01,FU,201103,10,1.0,FU,1,0.014705882352941176,True,1,0,0,4768.999999999999,4751.999999999999,4787.999999999999,4742.999999999999
FU1103.SHF,燃油1103,4816.0,4834.0,4844.0,4807.0,4828.0,4763.0,4769.0,3579996900.0,74148,71310,2010-12-02,FU,201103,10,1.0,FU,1,0.029411764705882353,True,1,0,0,4833.999999999999,4815.999999999999,4843.999999999999,4806.999999999999
FU1103.SHF,燃油1103,4850.0,4865.0,4894.0,4836.0,4870.0,4828.0,4834.0,4544971100.0,93322,79338,2010-12-03,FU,201103,10,1.0,FU,1,0.04411764705882353,True,1,0,0,4864.999999999999,4849.999999999999,4893.999999999999,4835.999999999999
FU1103.SHF,燃油1103,4903.0,4910.0,4951.0,4903.0,4927.0,4870.0,4865.0,4897476800.0,99384,86488,2010-12-06,FU,201103,10,1.0,FU,1,0.058823529411764705,True,1,0,0,4909.999999999999,4902.999999999999,4950.999999999999,4902.999999999999
FU1103.SHF,燃油1103,4893.0,4893.0,4902.0,4862.0,4883.0,4927.0,4910.0,2793516900.0,57202,86444,2010-12-07,FU,201103,10,1.0,FU,1,0.07352941176470588,True,1,0,0,4893.0,4893.0,4902.0,4862.0
FU1103.SHF,燃油1103,4841.0,4818.0,4860.0,4815.0,4839.0,4883.0,4893.0,3223932900.0,66616,79680,2010-12-08,FU,201103,10,1.0,FU,1,0.08823529411764706,True,1,0,0,4818.000000000001,4841.000000000001,4860.000000000001,4815.000000000001
FU1103.SHF,燃油1103,4850.0,4854.0,4874.0,4848.0,4861.0,4839.0,4818.0,2298787500.0,47284,78700,2010-12-09,FU,201103,10,1.0,FU,-1,0.08823529411764706,True,1,0,0,4854.0,4850.0,4874.0,4848.0
FU1103.SHF,燃油1103,4840.0,4875.0,4875.0,4837.0,4855.0,4861.0,4854.0,2200195800.0,45314,82920,2010-12-10,FU,201103,10,1.0,FU,-1,0.08823529411764706,True,1,0,0,4875.000000000001,4840.000000000001,4875.000000000001,4837.000000000001
FU1103.SHF,燃油1103,4855.0,4895.0,4917.0,4852.0,4889.0,4855.0,4875.0,2964704300.0,60632,85068,2010-12-13,FU,201103,10,1.0,FU,1,0.10294117647058823,True,1,0,0,4895.000000000001,4855.000000000001,4917.000000000001,4852.000000000001
FU1103.SHF,燃油1103,4891.0,4889.0,4909.0,4876.0,4890.0,4889.0,4895.0,1996345300.0,40818,83572,2010-12-14,FU,201103,10,1.0,FU,-1,0.08823529411764706,True,1,0,0,4889.000000000001,4891.000000000001,4909.000000000001,4876.000000000001
FU1103.SHF,燃油1103,4875.0,4841.0,4887.0,4835.0,4864.0,4890.0,4889.0,1848049700.0,37990,80454,2010-12-15,FU,201103,10,1.0,FU,-1,0.07352941176470588,True,1,0,0,4841.0,4875.0,4887.0,4835.0
FU1103.SHF,燃油1103,4853.0,4879.0,4907.0,4851.0,4887.0,4864.0,4841.0,3758609900.0,76910,82356,2010-12-16,FU,201103,10,1.0,FU,1,0.07352941176470588,True,1,0,0,4879.000000000001,4853.000000000001,4907.000000000001,4851.000000000001
FU1103.SHF,燃油1103,4877.0,4868.0,4893.0,4861.0,4873.0,4887.0,4879.0,2070067200.0,42474,85868,2010-12-17,FU,201103,10,1.0,FU,-1,0.058823529411764705,True,1,0,0,4868.000000000001,4877.000000000001,4893.000000000001,4861.000000000001
