code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
IF1011.CFE,IF1011,3569.0,3578.0,3630.0,3563.4,3577.0,3516.6,3524.8,217848000000.0,202498,23710,2010-11-05,IF,201011,300,0.2,IF,1,0.9850746268656716,True,1,0,0,3578.0,3569.0,3630.0,3563.4
IF1011.CFE,IF1011,3595.0,3579.6,3595.8,3557.0,3573.6,3577.0,3578.0,151492000000.0,141259,22742,2010-11-08,IF,201011,300,0.2,IF,1,1.0,True,1,0,0,3579.6000000000004,3595.000000000001,3595.800000000001,3557.000000000001
IF1011.CFE,IF1011,3581.6,3545.4,3581.6,3528.2,3541.4,3573.6,3579.6,146642000000.0,137677,19264,2010-11-09,IF,201011,300,0.2,IF,1,1.0,True,1,0,0,3545.4,3581.6,3581.6,3528.2
IF1011.CFE,IF1011,3542.0,3525.8,3542.0,3489.0,3516.8,3541.4,3545.4,139499000000.0,132284,18520,2010-11-10,IF,201011,300,0.2,IF,1,1.0,True,1,1,0,3525.8,3542.0,3542.0,3489.0
IF1012.CFE,IF1012,3577.0,3573.4,3664.2,3557.0,3613.8,3565.4,3577.0,153955000000.0,141636,23236,2010-11-11,IF,201012,300,0.2,IF,1,1.0,True,1,0,1,3522.251529214426,3525.8,3611.751847917249,3506.0862734134753
IF1012.CFE,IF1012,3529.0,3342.4,3563.6,3307.6,3357.6,3613.8,3573.4,241844000000.0,233801,22941,2010-11-12,IF,201012,300,0.2,IF,1,1.0,True,1,0,0,3294.557987140062,3478.4870561923403,3512.5918031870283,3260.256102879508
IF1012.CFE,IF1012,3366.0,3352.8,3385.0,3323.4,3356.6,3357.6,3342.4,208484000000.0,207228,25503,2010-11-15,IF,201012,300,0.2,IF,1,1.0,True,1,0,0,3304.8091249650556,3317.820184512162,3336.548224769361,3275.8299468828636
IF1012.CFE,IF1012,3349.0,3211.2,3357.8,3191.0,3215.4,3356.6,3352.8,242469000000.0,246564,25183,2010-11-16,IF,201012,300,0.2,IF,1,1.0,True,1,0,0,3165.235940732458,3301.063516913616,3309.737556611687,3145.325076880068
IF1012.CFE,IF1012,3173.6,3156.0,3230.0,3142.4,3164.2,3215.4,3211.2,292367000000.0,306002,28980,2010-11-17,IF,201012,300,0.2,IF,1,1.0,True,1,0,0,3110.826055353649,3128.174134749791,3183.766843723791,3097.420721274812
IF1012.CFE,IF1012,3181.2,3190.4,3214.6,3155.6,3195.8,3164.2,3156.0,225916000000.0,236016,29185,2010-11-18,IF,201012,300,0.2,IF,1,1.0,True,1,0,0,3144.7336650824723,3135.6653508526706,3168.5872742521674,3110.4317808219184
