code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
L1009.DCE,塑料1009,9800.0,9705.0,9810.0,9670.0,9735.0,9760.0,9805.0,31576506200.0,648410,138952,2010-07-27,L,201009,5,5.0,L,1,1.0,True,1,0,0,9705.0,9800.0,9810.0,9670.0
L1009.DCE,塑料1009,9650.0,9790.0,9835.0,9640.0,9740.0,9735.0,9705.0,27673080600.0,568066,133704,2010-07-28,L,201009,5,5.0,L,1,1.0,True,1,1,0,9789.999999999998,9649.999999999998,9834.999999999998,9639.999999999998
L1101.DCE,塑料1101,10225.0,10265.0,10320.0,10135.0,10230.0,10170.0,10225.0,23554389400.0,460482,103116,2010-07-29,L,201101,5,5.0,L,1,1.0,True,1,0,1,9828.298288508557,9790.0,9880.958435207824,9703.828850855745
L1101.DCE,塑料1101,10275.0,10335.0,10350.0,10235.0,10295.0,10230.0,10265.0,29029270800.0,563880,113166,2010-07-30,L,201101,5,5.0,L,1,1.0,True,1,0,0,9895.320293398532,9837.872860635696,9909.68215158924,9799.574572127138
L1101.DCE,塑料1101,10400.0,10505.0,10535.0,10380.0,10470.0,10295.0,10335.0,30910591000.0,590258,131806,2010-08-02,L,201101,5,5.0,L,1,1.0,True,1,0,0,10058.0880195599,9957.555012224937,10086.811735941319,9938.405867970658
L1101.DCE,塑料1101,10650.0,10485.0,10660.0,10480.0,10570.0,10470.0,10505.0,36382411000.0,688366,138440,2010-08-03,L,201101,5,5.0,L,1,1.0,True,1,0,0,10038.938875305621,10196.91931540342,10206.49388753056,10034.151589242052
L1101.DCE,塑料1101,10510.0,10525.0,10570.0,10415.0,10495.0,10570.0,10485.0,34457442500.0,656388,144132,2010-08-04,L,201101,5,5.0,L,1,1.0,True,1,0,0,10077.237163814181,10062.875305623473,10120.322738386309,9971.91687041565
L1101.DCE,塑料1101,10560.0,10365.0,10595.0,10330.0,10445.0,10495.0,10525.0,44766015600.0,857148,154012,2010-08-05,L,201101,5,5.0,L,1,1.0,True,1,0,0,9924.044009779951,10110.748166259169,10144.259168704157,9890.533007334963
L1101.DCE,塑料1101,10345.0,10435.0,10465.0,10330.0,10395.0,10445.0,10365.0,28234701100.0,543228,143720,2010-08-06,L,201101,5,5.0,L,1,1.0,True,1,0,0,9991.066014669927,9904.894865525674,10019.789731051345,9890.533007334963
L1101.DCE,塑料1101,10440.0,10600.0,10610.0,10420.0,10530.0,10395.0,10435.0,28249376800.0,536368,154276,2010-08-09,L,201101,5,5.0,L,1,1.0,True,1,0,0,10149.046454767726,9995.853300733495,10158.621026894865,9976.704156479216
