code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
pb2105,pb2105,14920.0,15170.0,15210.0,14780.0,15075.0,14820.0,14830.0,5995452600.0,79523,36506,2021-03-22,PB,202105,5,5.0,PB,1,0.0,True,7,0,0,15170.0,14920.0,15210.0,14780.0
pb2105,pb2105,15170.0,15280.0,15285.0,15070.0,15195.0,15075.0,15170.0,4463885125.0,58751,37557,2021-03-23,PB,202105,5,5.0,PB,1,0.01639344262295082,True,7,0,0,15279.999999999998,15169.999999999998,15284.999999999998,15069.999999999998
pb2105,pb2105,15180.0,15240.0,15275.0,15045.0,15185.0,15195.0,15280.0,4306316850.0,56715,37126,2021-03-24,PB,202105,5,5.0,PB,1,0.03278688524590164,True,7,0,0,15239.999999999998,15179.999999999998,15274.999999999998,15044.999999999998
pb2105,pb2105,15225.0,14900.0,15290.0,14880.0,15030.0,15185.0,15240.0,5494615100.0,73099,38964,2021-03-25,PB,202105,5,5.0,PB,1,0.04918032786885246,True,7,0,0,14899.999999999998,15224.999999999998,15289.999999999998,14879.999999999998
pb2105,pb2105,14940.0,15025.0,15085.0,14870.0,14980.0,15030.0,14900.0,3723857675.0,49707,36569,2021-03-26,PB,202105,5,5.0,PB,-1,0.04918032786885246,True,7,0,0,15024.999999999996,14939.999999999996,15084.999999999996,14869.999999999996
pb2105,pb2105,15025.0,15140.0,15150.0,14975.0,15070.0,14980.0,15025.0,4461399175.0,59197,36813,2021-03-29,PB,202105,5,5.0,PB,1,0.06557377049180328,True,7,0,0,15139.999999999996,15024.999999999996,15149.999999999996,14974.999999999996
pb2105,pb2105,15185.0,15425.0,15460.0,15140.0,15355.0,15070.0,15140.0,5814702900.0,75734,41529,2021-03-30,PB,202105,5,5.0,PB,1,0.08196721311475409,True,7,0,0,15424.999999999998,15184.999999999998,15459.999999999998,15139.999999999998
pb2105,pb2105,15310.0,15385.0,15450.0,15285.0,15355.0,15355.0,15425.0,4397815175.0,57268,41655,2021-03-31,PB,202105,5,5.0,PB,1,0.09836065573770492,True,7,0,0,15384.999999999998,15309.999999999998,15449.999999999998,15284.999999999998
pb2105,pb2105,15400.0,15230.0,15475.0,15115.0,15300.0,15355.0,15385.0,5957959100.0,77872,39897,2021-04-01,PB,202105,5,5.0,PB,1,0.11475409836065574,True,7,0,0,15229.999999999998,15399.999999999998,15474.999999999998,15114.999999999998
pb2105,pb2105,15230.0,15015.0,15280.0,15010.0,15135.0,15300.0,15230.0,4606507150.0,60872,40313,2021-04-02,PB,202105,5,5.0,PB,1,0.13114754098360656,True,7,0,0,15014.999999999996,15229.999999999996,15279.999999999996,15009.999999999996
