code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
PF105,PF105,6462.0,6596.0,6596.0,6432.0,6536.0,6342.0,6454.0,9531095856.0,1458246,316768,2020-10-19,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6596.0,6462.0,6596.0,6432.0
PF105,PF105,6602.0,6564.0,6618.0,6482.0,6546.0,6536.0,6596.0,9087746340.0,1388290,306556,2020-10-20,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6564.0,6602.0,6618.0,6482.0
PF105,PF105,6536.0,6500.0,6586.0,6488.0,6536.0,6546.0,6564.0,5195074240.0,794840,288029,2020-10-21,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6500.0,6536.0,6586.0,6488.0
PF105,PF105,6530.0,6274.0,6546.0,6274.0,6372.0,6536.0,6500.0,7784710632.0,1221706,224512,2020-10-22,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6274.0,6530.0,6546.0,6274.0
PF105,PF105,6252.0,6238.0,6314.0,6214.0,6270.0,6372.0,6274.0,4050902790.0,646077,174759,2020-10-23,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6238.0,6252.0,6314.0,6214.0
PF105,PF105,6236.0,6254.0,6326.0,6228.0,6274.0,6270.0,6238.0,3009299004.0,479646,172231,2020-10-26,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6254.0,6236.0,6326.0,6228.0
PF105,PF105,6218.0,6144.0,6286.0,6136.0,6212.0,6274.0,6254.0,2814408720.0,453060,170317,2020-10-27,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6144.000000000001,6218.000000000002,6286.000000000002,6136.000000000001
PF105,PF105,6150.0,6178.0,6206.0,6126.0,6162.0,6212.0,6144.0,2195896482.0,356361,163360,2020-10-28,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6178.000000000001,6150.000000000002,6206.000000000002,6126.000000000001
PF105,PF105,6130.0,6058.0,6176.0,6052.0,6116.0,6162.0,6178.0,1929487912.0,315482,152349,2020-10-29,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6058.000000000001,6130.000000000001,6176.000000000002,6052.000000000001
PF105,PF105,6008.0,6016.0,6102.0,5990.0,6044.0,6116.0,6058.0,1438193976.0,237954,138240,2020-10-30,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6016.000000000001,6008.000000000001,6102.000000000001,5990.000000000001
PF105,PF105,6010.0,6094.0,6172.0,6008.0,6116.0,6044.0,6016.0,2328073748.0,380653,142514,2020-11-02,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6094.000000000001,6010.000000000001,6172.000000000002,6008.000000000001
PF105,PF105,6118.0,6076.0,6162.0,6074.0,6126.0,6116.0,6094.0,1195874838.0,195213,145515,2020-11-03,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6076.000000000001,6118.000000000001,6162.000000000002,6074.000000000001
PF105,PF105,6110.0,6066.0,6114.0,6026.0,6080.0,6126.0,6076.0,959010560.0,157732,139596,2020-11-04,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6066.000000000001,6110.000000000001,6114.000000000001,6026.000000000001
PF105,PF105,6080.0,5982.0,6100.0,5966.0,6034.0,6080.0,6066.0,963659970.0,159705,147914,2020-11-05,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5982.000000000001,6080.000000000001,6100.000000000001,5966.000000000001
PF105,PF105,5990.0,5888.0,6004.0,5854.0,5924.0,6034.0,5982.0,1563864912.0,263988,149173,2020-11-06,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5888.000000000001,5990.000000000001,6004.000000000001,5854.000000000001
PF105,PF105,5880.0,5902.0,5926.0,5858.0,5894.0,5924.0,5888.0,902666100.0,153150,145719,2020-11-09,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5902.000000000001,5880.000000000001,5926.000000000001,5858.000000000001
PF105,PF105,6038.0,6006.0,6124.0,5944.0,6026.0,5894.0,5902.0,2018252024.0,334924,137063,2020-11-10,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6006.000000000001,6038.000000000001,6124.000000000001,5944.000000000001
PF105,PF105,6022.0,6066.0,6112.0,6002.0,6072.0,6026.0,6006.0,1319730984.0,217347,140201,2020-11-11,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6066.000000000002,6022.000000000001,6112.000000000001,6002.000000000001
PF105,PF105,6080.0,6048.0,6136.0,6038.0,6088.0,6072.0,6066.0,1184931792.0,194634,148000,2020-11-12,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6048.000000000002,6080.000000000001,6136.000000000001,6038.000000000001
PF105,PF105,6040.0,5956.0,6070.0,5934.0,5992.0,6088.0,6048.0,1011887016.0,168873,145772,2020-11-13,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5956.000000000001,6040.000000000001,6070.000000000001,5934.000000000001
PF105,PF105,5904.0,5964.0,5990.0,5894.0,5938.0,5992.0,5956.0,1041649898.0,175421,145686,2020-11-16,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5964.000000000001,5904.000000000001,5990.000000000001,5894.000000000001
PF105,PF105,5990.0,5968.0,6032.0,5940.0,5988.0,5938.0,5964.0,946241724.0,158023,147265,2020-11-17,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5968.000000000001,5990.000000000001,6032.000000000001,5940.000000000001
PF105,PF105,5960.0,6000.0,6024.0,5922.0,5982.0,5988.0,5968.0,894769614.0,149577,147703,2020-11-18,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6000.000000000001,5960.000000000001,6024.000000000001,5922.000000000001
PF105,PF105,6030.0,5994.0,6032.0,5974.0,6000.0,5982.0,6000.0,634080000.0,105680,146178,2020-11-19,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,5994.000000000001,6030.000000000001,6032.000000000001,5974.000000000001
PF105,PF105,6000.0,6006.0,6050.0,5972.0,6020.0,6000.0,5994.0,897792700.0,149135,141034,2020-11-20,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6006.000000000001,6000.000000000001,6050.000000000001,5972.000000000001
PF105,PF105,6002.0,6040.0,6080.0,5990.0,6030.0,6020.0,6006.0,656124300.0,108810,143354,2020-11-23,PF,202105,5,2.0,PF,1,1.0,True,1,0,0,6040.0,6002.0,6080.0,5990.0
