code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
RB1101.SHF,螺纹钢1101,4215.0,4155.0,4217.0,4152.0,4176.0,4217.0,4215.0,81618391100.0,1954296,1102482,2010-07-27,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4155.0,4215.0,4217.0,4152.0
RB1101.SHF,螺纹钢1101,4154.0,4220.0,4223.0,4145.0,4189.0,4176.0,4155.0,85507977100.0,2041104,1259150,2010-07-28,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4220.0,4154.0,4223.0,4145.0
RB1101.SHF,螺纹钢1101,4218.0,4216.0,4242.0,4196.0,4215.0,4189.0,4220.0,101913000000.0,2417326,1233180,2010-07-29,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4216.000000000001,4218.000000000001,4242.000000000001,4196.000000000001
RB1101.SHF,螺纹钢1101,4219.0,4285.0,4287.0,4215.0,4254.0,4215.0,4216.0,140463000000.0,3301522,1203746,2010-07-30,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4285.000000000001,4219.000000000001,4287.000000000001,4215.000000000001
RB1101.SHF,螺纹钢1101,4310.0,4327.0,4353.0,4305.0,4333.0,4254.0,4285.0,116032000000.0,2677346,1258936,2010-08-02,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4327.0,4310.0,4353.0,4305.0
RB1101.SHF,螺纹钢1101,4341.0,4298.0,4347.0,4295.0,4315.0,4333.0,4327.0,110159000000.0,2552662,1232048,2010-08-03,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4298.0,4341.0,4347.0,4295.0
RB1101.SHF,螺纹钢1101,4296.0,4324.0,4326.0,4274.0,4302.0,4315.0,4298.0,115570000000.0,2686216,1264022,2010-08-04,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4324.000000000001,4296.000000000001,4326.000000000001,4274.000000000001
RB1101.SHF,螺纹钢1101,4330.0,4302.0,4347.0,4286.0,4314.0,4302.0,4324.0,122843000000.0,2847134,1255884,2010-08-05,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4302.000000000001,4330.000000000001,4347.000000000001,4286.000000000001
RB1101.SHF,螺纹钢1101,4291.0,4317.0,4324.0,4285.0,4303.0,4314.0,4302.0,86339474900.0,2006040,1233682,2010-08-06,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4317.000000000001,4291.000000000001,4324.000000000001,4285.000000000001
RB1101.SHF,螺纹钢1101,4320.0,4379.0,4380.0,4320.0,4361.0,4303.0,4317.0,108041000000.0,2477098,1341754,2010-08-09,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4379.000000000001,4320.000000000001,4380.000000000001,4320.000000000001
RB1101.SHF,螺纹钢1101,4378.0,4357.0,4385.0,4353.0,4365.0,4361.0,4379.0,88476335800.0,2026632,1271876,2010-08-10,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4357.000000000001,4378.000000000001,4385.000000000001,4353.000000000001
RB1101.SHF,螺纹钢1101,4351.0,4361.0,4407.0,4350.0,4383.0,4365.0,4357.0,136138000000.0,3105900,1331284,2010-08-11,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4361.000000000001,4351.000000000001,4407.000000000001,4350.000000000001
RB1101.SHF,螺纹钢1101,4342.0,4301.0,4343.0,4298.0,4319.0,4383.0,4361.0,95946054900.0,2221398,1317378,2010-08-12,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4301.000000000001,4342.000000000001,4343.000000000001,4298.000000000001
RB1101.SHF,螺纹钢1101,4320.0,4334.0,4334.0,4295.0,4314.0,4319.0,4301.0,87735871000.0,2033386,1351294,2010-08-13,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4334.000000000002,4320.000000000002,4334.000000000002,4295.000000000002
RB1101.SHF,螺纹钢1101,4325.0,4361.0,4372.0,4318.0,4345.0,4314.0,4334.0,86273784800.0,1985172,1366418,2010-08-16,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4361.000000000002,4325.000000000002,4372.000000000002,4318.000000000002
RB1101.SHF,螺纹钢1101,4370.0,4367.0,4385.0,4344.0,4367.0,4345.0,4361.0,98159367800.0,2247598,1280464,2010-08-17,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4367.000000000002,4370.000000000002,4385.000000000002,4344.000000000002
RB1101.SHF,螺纹钢1101,4387.0,4361.0,4392.0,4361.0,4375.0,4367.0,4367.0,81214529800.0,1856012,1216194,2010-08-18,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4361.000000000002,4387.000000000002,4392.000000000002,4361.000000000002
RB1101.SHF,螺纹钢1101,4365.0,4365.0,4378.0,4341.0,4362.0,4375.0,4361.0,74550269900.0,1708774,1213606,2010-08-19,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4365.000000000003,4365.000000000003,4378.000000000003,4341.000000000003
RB1101.SHF,螺纹钢1101,4351.0,4311.0,4354.0,4308.0,4328.0,4362.0,4365.0,74025442300.0,1710370,1178686,2010-08-20,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4311.000000000003,4351.000000000003,4354.000000000003,4308.000000000003
RB1101.SHF,螺纹钢1101,4316.0,4261.0,4318.0,4254.0,4272.0,4328.0,4311.0,89209826600.0,2087788,1185450,2010-08-23,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4261.000000000003,4316.000000000003,4318.000000000003,4254.000000000003
RB1101.SHF,螺纹钢1101,4249.0,4238.0,4278.0,4234.0,4256.0,4272.0,4261.0,85108096100.0,1999438,1131506,2010-08-24,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4238.000000000004,4249.000000000004,4278.000000000004,4234.000000000004
RB1101.SHF,螺纹钢1101,4219.0,4225.0,4245.0,4212.0,4228.0,4256.0,4238.0,67834908900.0,1604320,1137160,2010-08-25,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4225.000000000004,4219.000000000004,4245.000000000004,4212.000000000004
RB1101.SHF,螺纹钢1101,4240.0,4257.0,4260.0,4236.0,4248.0,4228.0,4225.0,55820897700.0,1313978,1133676,2010-08-26,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4257.000000000004,4240.000000000004,4260.000000000004,4236.000000000004
RB1101.SHF,螺纹钢1101,4263.0,4268.0,4272.0,4246.0,4259.0,4248.0,4257.0,52377182200.0,1229674,1119014,2010-08-27,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4268.000000000005,4263.000000000005,4272.000000000005,4246.000000000005
RB1101.SHF,螺纹钢1101,4295.0,4333.0,4334.0,4284.0,4310.0,4259.0,4268.0,90329267200.0,2095560,1162306,2010-08-30,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4333.000000000005,4295.000000000005,4334.000000000005,4284.000000000005
RB1101.SHF,螺纹钢1101,4310.0,4312.0,4344.0,4306.0,4324.0,4310.0,4333.0,93529680100.0,2163030,1113860,2010-08-31,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4312.000000000005,4310.000000000005,4344.000000000005,4306.000000000005
RB1101.SHF,螺纹钢1101,4328.0,4352.0,4372.0,4318.0,4348.0,4324.0,4312.0,105440000000.0,2424564,1098080,2010-09-01,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4352.000000000005,4328.000000000005,4372.000000000005,4318.000000000005
RB1101.SHF,螺纹钢1101,4380.0,4386.0,4395.0,4370.0,4383.0,4348.0,4352.0,75347229100.0,1718938,1105294,2010-09-02,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4386.000000000005,4380.000000000005,4395.000000000005,4370.000000000005
RB1101.SHF,螺纹钢1101,4400.0,4365.0,4400.0,4358.0,4374.0,4383.0,4386.0,64290123800.0,1469524,1087286,2010-09-03,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4365.0000000000055,4400.0000000000055,4400.0000000000055,4358.0000000000055
RB1101.SHF,螺纹钢1101,4471.0,4584.0,4592.0,4452.0,4545.0,4374.0,4365.0,132322000000.0,2910994,1221910,2010-09-06,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4584.0000000000055,4471.000000000005,4592.0000000000055,4452.000000000005
RB1101.SHF,螺纹钢1101,4584.0,4568.0,4592.0,4547.0,4567.0,4545.0,4584.0,113117000000.0,2476508,1189394,2010-09-07,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4568.0000000000055,4584.0000000000055,4592.0000000000055,4547.0000000000055
RB1101.SHF,螺纹钢1101,4568.0,4538.0,4568.0,4531.0,4543.0,4567.0,4568.0,85682996400.0,1885662,1217574,2010-09-08,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4538.0000000000055,4568.0000000000055,4568.0000000000055,4531.0000000000055
RB1101.SHF,螺纹钢1101,4550.0,4439.0,4558.0,4340.0,4471.0,4543.0,4538.0,123927000000.0,2771568,1092142,2010-09-09,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4439.0000000000055,4550.000000000006,4558.000000000006,4340.0000000000055
RB1101.SHF,螺纹钢1101,4445.0,4494.0,4500.0,4434.0,4473.0,4471.0,4439.0,108214000000.0,2418896,1197244,2010-09-10,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4494.0000000000055,4445.000000000005,4500.000000000005,4434.000000000005
RB1101.SHF,螺纹钢1101,4529.0,4481.0,4541.0,4470.0,4499.0,4473.0,4494.0,96931176400.0,2154444,1151560,2010-09-13,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4481.000000000006,4529.000000000006,4541.000000000006,4470.000000000006
RB1101.SHF,螺纹钢1101,4483.0,4418.0,4484.0,4406.0,4447.0,4499.0,4481.0,107678000000.0,2420840,1159224,2010-09-14,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4418.000000000006,4483.000000000006,4484.000000000006,4406.0000000000055
RB1101.SHF,螺纹钢1101,4432.0,4417.0,4435.0,4401.0,4419.0,4447.0,4418.0,89902457400.0,2034404,1110354,2010-09-15,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4417.000000000006,4432.0000000000055,4435.0000000000055,4401.0000000000055
RB1101.SHF,螺纹钢1101,4419.0,4366.0,4434.0,4350.0,4387.0,4419.0,4417.0,101594000000.0,2315300,1090372,2010-09-16,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4366.000000000007,4419.000000000008,4434.000000000008,4350.000000000007
RB1101.SHF,螺纹钢1101,4370.0,4359.0,4383.0,4351.0,4368.0,4387.0,4366.0,81256111400.0,1860220,1081302,2010-09-17,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4359.000000000006,4370.000000000006,4383.000000000006,4351.000000000006
RB1101.SHF,螺纹钢1101,4370.0,4378.0,4418.0,4356.0,4388.0,4368.0,4359.0,110149000000.0,2509684,1048714,2010-09-20,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4378.000000000006,4370.000000000006,4418.000000000007,4356.000000000006
RB1101.SHF,螺纹钢1101,4370.0,4317.0,4378.0,4305.0,4331.0,4388.0,4378.0,63903229700.0,1475212,880984,2010-09-21,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4317.000000000006,4370.000000000006,4378.000000000006,4305.000000000006
RB1101.SHF,螺纹钢1101,4337.0,4258.0,4343.0,4255.0,4281.0,4331.0,4317.0,65298953400.0,1525280,906172,2010-09-27,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4258.000000000006,4337.000000000006,4343.000000000006,4255.000000000006
RB1101.SHF,螺纹钢1101,4250.0,4251.0,4283.0,4231.0,4260.0,4281.0,4258.0,53542978400.0,1256640,844016,2010-09-28,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4251.0000000000055,4250.0000000000055,4283.0000000000055,4231.0000000000055
RB1101.SHF,螺纹钢1101,4246.0,4240.0,4285.0,4217.0,4250.0,4260.0,4251.0,53867020300.0,1267204,781670,2010-09-29,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4240.000000000006,4246.000000000006,4285.000000000006,4217.000000000006
RB1101.SHF,螺纹钢1101,4221.0,4263.0,4265.0,4196.0,4229.0,4250.0,4240.0,48470885300.0,1146126,751058,2010-09-30,RB,201101,10,1.0,RB,1,1.0,True,1,0,0,4263.0000000000055,4221.0000000000055,4265.0000000000055,4196.0000000000055
