code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
sc1809.INE,原油1809,484.8,482.4,486.0,477.0,482.4,484.8,486.5,84742245000.0,175668,26892,2018-05-21,SC,201809,1000,0.1,SC,1,0.6756756756756757,True,1,0,0,482.4,484.8,486.0,477.0
sc1809.INE,原油1809,480.0,485.1,486.5,478.3,482.8,482.4,482.4,64225572800.0,133016,29060,2018-05-22,SC,201809,1000,0.1,SC,1,0.7297297297297297,True,1,0,0,485.1,480.0,486.5,478.3
sc1809.INE,原油1809,486.0,484.6,493.8,482.6,488.1,482.8,485.1,106464000000.0,218094,30956,2018-05-23,SC,201809,1000,0.1,SC,1,0.7837837837837838,True,1,0,0,484.6,486.0,493.8,482.6
sc1809.INE,原油1809,484.5,485.0,487.4,478.1,483.0,488.1,484.6,104904000000.0,217168,30414,2018-05-24,SC,201809,1000,0.1,SC,1,0.7837837837837838,True,1,0,0,485.0,484.5,487.4,478.1
sc1809.INE,原油1809,481.1,477.4,483.8,476.6,480.6,483.0,485.0,86698040200.0,180374,30964,2018-05-25,SC,201809,1000,0.1,SC,1,0.7837837837837838,True,1,0,0,477.4,481.1,483.8,476.6
sc1809.INE,原油1809,467.4,462.8,470.5,456.6,464.3,480.6,477.4,114043000000.0,245594,30338,2018-05-28,SC,201809,1000,0.1,SC,1,0.7837837837837838,True,1,0,0,462.8,467.4,470.5,456.6
sc1809.INE,原油1809,462.5,463.8,466.0,459.2,462.7,464.3,462.8,67198318600.0,145200,30166,2018-05-29,SC,201809,1000,0.1,SC,1,0.8378378378378378,True,1,0,0,463.80000000000007,462.5000000000001,466.0000000000001,459.2000000000001
sc1809.INE,原油1809,467.0,463.9,468.3,458.5,463.4,462.7,463.8,103893000000.0,224162,30760,2018-05-30,SC,201809,1000,0.1,SC,1,0.8378378378378378,True,1,0,0,463.90000000000003,467.0000000000001,468.3000000000001,458.5000000000001
sc1809.INE,原油1809,466.0,472.5,476.8,465.3,471.9,463.4,463.9,110701000000.0,234544,33824,2018-05-31,SC,201809,1000,0.1,SC,1,0.8918918918918919,True,1,0,0,472.5000000000001,466.0000000000001,476.8000000000001,465.3000000000001
sc1809.INE,原油1809,470.5,474.7,483.9,469.9,476.1,471.9,472.5,130939000000.0,275006,33986,2018-06-01,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,474.70000000000005,470.5000000000001,483.9000000000001,469.9000000000001
sc1809.INE,原油1809,472.9,470.9,473.1,467.6,470.6,476.1,474.7,95162743800.0,202210,31182,2018-06-04,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,470.90000000000003,472.9000000000001,473.10000000000014,467.60000000000014
sc1809.INE,原油1809,468.7,466.2,471.4,461.6,466.1,470.6,470.9,99000144000.0,212376,30258,2018-06-05,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,466.20000000000005,468.7000000000001,471.4000000000001,461.60000000000014
sc1809.INE,原油1809,461.7,465.0,466.7,455.8,460.7,466.1,466.2,109879000000.0,238464,33080,2018-06-06,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,465.00000000000006,461.7000000000001,466.7000000000001,455.8000000000001
sc1809.INE,原油1809,461.0,465.8,466.0,458.0,461.8,460.7,465.0,116244000000.0,251680,33264,2018-06-07,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,465.8,461.0,466.0,458.0
sc1809.INE,原油1809,467.7,468.3,474.2,466.6,470.5,461.8,465.8,107536000000.0,228524,34290,2018-06-08,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,468.30000000000007,467.7000000000001,474.2000000000001,466.60000000000014
sc1809.INE,原油1809,469.0,467.5,476.3,466.8,470.2,470.5,468.3,90655673600.0,192790,32846,2018-06-11,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,467.50000000000006,469.0000000000001,476.3000000000001,466.8000000000001
sc1809.INE,原油1809,466.4,472.1,473.0,463.9,469.1,470.2,467.5,110515000000.0,235584,33878,2018-06-12,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,472.10000000000014,466.4000000000001,473.0000000000001,463.9000000000001
sc1809.INE,原油1809,469.2,464.5,471.7,463.0,467.8,469.1,472.1,101946000000.0,217898,32200,2018-06-13,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,464.50000000000006,469.2000000000001,471.7000000000001,463.0000000000001
sc1809.INE,原油1809,466.3,468.1,472.0,464.4,468.6,467.8,464.5,104516000000.0,222996,31010,2018-06-14,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,468.10000000000014,466.3000000000001,472.0000000000001,464.4000000000001
sc1809.INE,原油1809,470.7,467.2,472.2,465.5,468.2,468.6,468.1,85335104800.0,182254,28670,2018-06-15,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,467.2000000000001,470.7000000000001,472.2000000000001,465.5000000000001
sc1809.INE,原油1809,463.1,460.3,465.5,458.0,460.7,468.2,467.2,34922657200.0,75788,31970,2018-06-19,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,460.3000000000001,463.10000000000014,465.5000000000001,458.0000000000001
sc1809.INE,原油1809,461.1,464.2,465.7,458.8,462.2,460.7,460.3,103150000000.0,223134,32990,2018-06-20,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,464.20000000000016,461.10000000000025,465.7000000000002,458.80000000000024
sc1809.INE,原油1809,465.0,459.8,468.7,458.7,463.5,462.2,464.2,144832000000.0,312444,34196,2018-06-21,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,459.8000000000001,465.0000000000001,468.7000000000001,458.7000000000001
sc1809.INE,原油1809,458.0,459.0,461.8,453.7,457.4,463.5,459.8,124058000000.0,271166,35592,2018-06-22,SC,201809,1000,0.1,SC,1,0.9459459459459459,True,1,0,0,459.0000000000001,458.0000000000001,461.8000000000001,453.7000000000001
sc1809.INE,原油1809,464.4,466.5,472.0,464.3,467.0,457.4,459.0,118679000000.0,254096,34400,2018-06-25,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,466.50000000000006,464.4000000000001,472.0000000000001,464.3000000000001
sc1809.INE,原油1809,468.4,471.5,471.9,465.3,468.0,467.0,466.5,86321895000.0,184420,35956,2018-06-26,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,471.5000000000001,468.4000000000001,471.9000000000001,465.3000000000001
sc1809.INE,原油1809,472.2,485.0,486.1,469.6,476.9,468.0,471.5,141020000000.0,295640,39126,2018-06-27,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,485.00000000000006,472.2000000000001,486.10000000000014,469.60000000000014
sc1809.INE,原油1809,487.0,491.0,495.0,486.3,491.9,476.9,485.0,128053000000.0,260304,36606,2018-06-28,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,491.00000000000006,487.0000000000001,495.0000000000001,486.3000000000001
sc1809.INE,原油1809,490.4,494.8,498.0,490.4,494.6,491.9,491.0,125122000000.0,252972,36364,2018-06-29,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,494.8,490.4,498.0,490.4
sc1809.INE,原油1809,498.0,501.6,510.0,497.6,502.6,494.6,494.8,142360000000.0,283214,36276,2018-07-02,SC,201809,1000,0.1,SC,1,1.0,True,1,0,0,501.5999999999999,497.9999999999999,509.9999999999999,497.5999999999999
