code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
SM1705.CZC,硅锰1705,6392.0,6316.0,6452.0,6310.0,6390.0,6512.0,6392.0,2829071400.0,88540,42984,2017-04-11,SM,201705,5,2.0,SM,1,0.012345679012345678,True,1,0,0,6316.0,6392.0,6452.0,6310.0
SM1705.CZC,硅锰1705,6308.0,6006.0,6314.0,6006.0,6156.0,6390.0,6316.0,4333519600.0,140810,43992,2017-04-12,SM,201705,5,2.0,SM,1,0.037037037037037035,True,1,0,0,6006.0,6308.0,6314.0,6006.0
SM1705.CZC,硅锰1705,5990.0,6120.0,6244.0,5976.0,6096.0,6156.0,6006.0,3879426100.0,127272,36012,2017-04-13,SM,201705,5,2.0,SM,1,0.06172839506172839,True,1,0,0,6120.0,5990.0,6244.0,5976.0
SM1705.CZC,硅锰1705,6188.0,5808.0,6214.0,5776.0,5948.0,6096.0,6120.0,5778268800.0,194294,39216,2017-04-14,SM,201705,5,2.0,SM,1,0.08641975308641975,True,1,0,0,5807.999999999999,6187.999999999999,6213.999999999999,5775.999999999999
SM1705.CZC,硅锰1705,5848.0,5738.0,5918.0,5706.0,5792.0,5948.0,5808.0,3525819600.0,121754,35264,2017-04-17,SM,201705,5,2.0,SM,1,0.1111111111111111,True,1,1,0,5738.0,5848.0,5918.0,5706.0
SM1709.CZC,硅锰1709,5768.0,5580.0,5766.0,5540.0,5622.0,5814.0,5768.0,4224115000.0,150258,57574,2017-04-18,SM,201709,5,2.0,SM,1,0.13580246913580246,True,1,0,1,5550.9778085991675,5737.999999999999,5736.01040221914,5511.185852981969
SM1709.CZC,硅锰1709,5568.0,5710.0,5744.0,5498.0,5662.0,5622.0,5580.0,6672625700.0,235716,57570,2017-04-19,SM,201709,5,2.0,SM,1,0.16049382716049382,True,1,0,0,5680.301664355063,5539.040221914009,5714.124826629681,5469.404299583911
SM1709.CZC,硅锰1709,5710.0,5802.0,5832.0,5610.0,5730.0,5662.0,5710.0,8915325900.0,311248,56704,2017-04-20,SM,201709,5,2.0,SM,1,0.18518518518518517,True,1,0,0,5771.823162274619,5680.301664355063,5801.667128987518,5580.821775312066
SM1709.CZC,硅锰1709,5842.0,5932.0,5980.0,5812.0,5898.0,5730.0,5802.0,7695622700.0,261018,57314,2017-04-21,SM,201709,5,2.0,SM,1,0.20987654320987653,True,1,0,0,5901.147018030514,5811.615117891817,5948.897364771152,5781.771151178918
SM1709.CZC,硅锰1709,5930.0,5858.0,5930.0,5760.0,5824.0,5898.0,5932.0,6675490600.0,229230,55960,2017-04-24,SM,201709,5,2.0,SM,1,0.2345679012345679,True,1,0,0,5827.531900138698,5899.157420249655,5899.157420249655,5730.041608876561
SM1709.CZC,硅锰1709,5828.0,6058.0,6072.0,5760.0,5948.0,5824.0,5858.0,9614507700.0,323282,68718,2017-04-25,SM,201709,5,2.0,SM,1,0.25925925925925924,True,1,0,0,6026.491678224689,5797.687933425799,6040.418862690709,5730.041608876561
SM1709.CZC,硅锰1709,6080.0,6268.0,6306.0,6080.0,6214.0,5948.0,6058.0,10412171300.0,335182,76382,2017-04-26,SM,201709,5,2.0,SM,1,0.2839506172839506,True,1,0,0,6235.399445214981,6048.377253814148,6273.201803051319,6048.377253814148
SM1709.CZC,硅锰1709,6302.0,6428.0,6444.0,6212.0,6294.0,6214.0,6268.0,12387027800.0,393686,83932,2017-04-27,SM,201709,5,2.0,SM,1,0.30864197530864196,True,1,0,0,6394.567267683775,6269.2226074896,6410.484049930654,6179.690707350904
SM1709.CZC,硅锰1709,6458.0,6376.0,6466.0,6318.0,6386.0,6294.0,6428.0,14299797900.0,447828,75292,2017-04-28,SM,201709,5,2.0,SM,1,0.3333333333333333,True,1,0,0,6342.837725381418,6424.411234396674,6432.369625520114,6285.13938973648
SM1709.CZC,硅锰1709,6408.0,6280.0,6490.0,6236.0,6338.0,6386.0,6376.0,11584510900.0,365556,79666,2017-05-02,SM,201709,5,2.0,SM,1,0.35802469135802467,True,1,0,0,6247.3370319001415,6374.671289875177,6456.244798890433,6203.565880721223
SM1709.CZC,硅锰1709,6302.0,6424.0,6426.0,6148.0,6264.0,6338.0,6280.0,16346999500.0,522012,87218,2017-05-03,SM,201709,5,2.0,SM,1,0.38271604938271603,True,1,0,0,6390.588072122056,6269.222607489601,6392.577669902916,6116.023578363387
SM1709.CZC,硅锰1709,6270.0,6202.0,6398.0,6030.0,6200.0,6264.0,6424.0,30744802000.0,991740,89066,2017-05-04,SM,201709,5,2.0,SM,1,0.4074074074074074,True,1,0,0,6169.742718446604,6237.389042995841,6364.723300970876,5998.6373092926515
SM1709.CZC,硅锰1709,6190.0,6308.0,6356.0,6112.0,6270.0,6200.0,6202.0,28772997800.0,917792,93268,2017-05-05,SM,201709,5,2.0,SM,1,0.43209876543209874,True,1,0,0,6275.19140083218,6157.805131761445,6322.941747572819,6080.210818307908
SM1709.CZC,硅锰1709,6400.0,6426.0,6516.0,6342.0,6420.0,6270.0,6308.0,21358716500.0,665474,96046,2017-05-08,SM,201709,5,2.0,SM,1,0.4567901234567901,True,1,0,0,6392.577669902914,6366.712898751735,6482.10957004161,6309.014563106797
SM1709.CZC,硅锰1709,6456.0,6356.0,6486.0,6224.0,6318.0,6420.0,6426.0,21731154000.0,687942,99210,2017-05-09,SM,201709,5,2.0,SM,1,0.48148148148148145,True,1,0,0,6322.941747572817,6422.4216366158125,6452.265603328711,6191.6282940360625
SM1709.CZC,硅锰1709,6400.0,6368.0,6418.0,6256.0,6332.0,6318.0,6356.0,22919328300.0,723926,101386,2017-05-10,SM,201709,5,2.0,SM,1,0.5061728395061729,True,1,0,0,6334.879334257977,6366.712898751735,6384.619278779474,6223.461858529821
SM1709.CZC,硅锰1709,6284.0,6338.0,6376.0,6180.0,6268.0,6332.0,6368.0,25108391300.0,801206,103196,2017-05-11,SM,201709,5,2.0,SM,1,0.5308641975308642,True,1,0,0,6305.035367545077,6251.316227461859,6342.837725381415,6147.857142857143
SM1709.CZC,硅锰1709,6280.0,6354.0,6376.0,6260.0,6328.0,6268.0,6338.0,16242100900.0,513378,103936,2017-05-12,SM,201709,5,2.0,SM,1,0.5555555555555556,True,1,0,0,6320.952149791957,6247.33703190014,6342.837725381416,6227.4410540915405
SM1709.CZC,硅锰1709,6416.0,6428.0,6484.0,6398.0,6438.0,6328.0,6354.0,8801250900.0,273458,113178,2017-05-15,SM,201709,5,2.0,SM,1,0.5555555555555556,True,1,0,0,6394.567267683774,6382.629680998614,6450.276005547852,6364.723300970875
SM1709.CZC,硅锰1709,6444.0,6392.0,6450.0,6328.0,6364.0,6438.0,6428.0,8276232700.0,260116,105746,2017-05-16,SM,201709,5,2.0,SM,1,0.5555555555555556,True,1,0,0,6358.754507628295,6410.484049930653,6416.452843273232,6295.087378640777
SM1709.CZC,硅锰1709,6412.0,6714.0,6740.0,6346.0,6606.0,6364.0,6392.0,23428079700.0,709258,135432,2017-05-17,SM,201709,5,2.0,SM,1,0.5555555555555556,True,1,0,0,6679.079750346741,6378.650485436894,6704.9445214979205,6312.993758668516
SM1709.CZC,硅锰1709,6682.0,6684.0,6746.0,6608.0,6678.0,6606.0,6714.0,15267630400.0,457256,131228,2017-05-18,SM,201709,5,2.0,SM,1,0.5802469135802469,True,1,0,0,6649.235783633842,6647.246185852982,6710.9133148405,6573.631067961166
SM1709.CZC,硅锰1709,6816.0,6810.0,6906.0,6748.0,6824.0,6678.0,6684.0,13701078200.0,401542,117372,2017-05-19,SM,201709,5,2.0,SM,1,0.6049382716049383,True,1,0,0,6774.580443828017,6780.549237170597,6870.081137309294,6712.90291262136
SM1709.CZC,硅锰1709,6846.0,6786.0,6888.0,6750.0,6806.0,6824.0,6810.0,13053858100.0,383620,115432,2017-05-22,SM,201709,5,2.0,SM,1,0.6296296296296297,True,1,0,0,6750.705270457698,6810.3932038834955,6852.174757281554,6714.89251040222
SM1709.CZC,硅锰1709,6800.0,6870.0,7008.0,6772.0,6916.0,6806.0,6786.0,20819598600.0,602094,115520,2017-05-23,SM,201709,5,2.0,SM,1,0.654320987654321,True,1,0,0,6834.268377253814,6764.632454923717,6971.550624133149,6736.778085991678
SM1709.CZC,硅锰1709,6896.0,6810.0,6944.0,6726.0,6824.0,6916.0,6870.0,15034513000.0,440690,110694,2017-05-24,SM,201709,5,2.0,SM,1,0.6790123456790124,True,1,0,0,6774.580443828016,6860.133148404992,6907.88349514563,6691.0173370319
SM1709.CZC,硅锰1709,6806.0,6762.0,6886.0,6732.0,6802.0,6824.0,6810.0,12557752400.0,369232,106874,2017-05-25,SM,201709,5,2.0,SM,1,0.7037037037037037,True,1,0,0,6726.830097087377,6770.601248266295,6850.185159500692,6696.986130374478
SM1709.CZC,硅锰1709,6738.0,6774.0,6792.0,6682.0,6754.0,6802.0,6762.0,7331551100.0,217110,104092,2017-05-26,SM,201709,5,2.0,SM,1,0.7283950617283951,True,1,0,0,6738.767683772537,6702.954923717059,6756.674063800276,6647.2461858529805
SM1709.CZC,硅锰1709,6788.0,6568.0,6840.0,6540.0,6670.0,6754.0,6774.0,8970212100.0,268962,110694,2017-05-31,SM,201709,5,2.0,SM,1,0.7530864197530864,True,1,0,0,6533.839112343965,6752.694868238556,6804.424410540914,6505.9847434119265
SM1709.CZC,硅锰1709,6590.0,6486.0,6610.0,6350.0,6474.0,6670.0,6568.0,9180068100.0,283592,110892,2017-06-01,SM,201709,5,2.0,SM,1,0.7777777777777778,True,1,0,0,6452.2656033287085,6555.724687933424,6575.620665742023,6316.972954230235
SM1709.CZC,硅锰1709,6458.0,6474.0,6510.0,6432.0,6476.0,6474.0,6486.0,4659579800.0,143930,105980,2017-06-02,SM,201709,5,2.0,SM,1,0.8024691358024691,True,1,0,0,6440.328016643549,6424.411234396669,6476.140776699027,6398.5464632454905
