code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
sn2104,sn2104,191290.0,188520.0,191840.0,186100.0,188880.0,191270.0,190660.0,36186824090.0,191578,29532,2021-02-24,SN,202104,1,10.0,SN,1,0.0,True,1,0,0,188520.0,191290.0,191840.0,186100.0
sn2104,sn2104,189010.0,191790.0,199470.0,187700.0,193030.0,188880.0,188520.0,45179311900.0,234042,26267,2021-02-25,SN,202104,1,10.0,SN,1,0.02702702702702703,True,1,0,0,191790.0,189010.0,199470.0,187700.0
sn2104,sn2104,191810.0,184400.0,194790.0,183370.0,188420.0,193030.0,191790.0,45170780900.0,239726,20725,2021-02-26,SN,202104,1,10.0,SN,1,0.05405405405405406,True,1,0,0,184400.0,191810.0,194790.0,183370.0
sn2104,sn2104,183000.0,182310.0,186180.0,181170.0,183720.0,188420.0,184400.0,24344833710.0,132506,17299,2021-03-01,SN,202104,1,10.0,SN,1,0.08108108108108109,True,1,0,0,182310.0,183000.0,186180.0,181170.0
sn2104,sn2104,171270.0,177110.0,178400.0,171270.0,176320.0,183720.0,182310.0,23946698800.0,135809,15536,2021-03-02,SN,202104,1,10.0,SN,1,0.10810810810810811,True,1,0,0,177110.0,171270.0,178400.0,171270.0
sn2104,sn2104,178300.0,178030.0,181480.0,177000.0,179580.0,176320.0,177110.0,13372808240.0,74466,13963,2021-03-03,SN,202104,1,10.0,SN,1,0.13513513513513514,True,1,0,0,178030.0,178300.0,181480.0,177000.0
sn2104,sn2104,179230.0,173200.0,179460.0,172640.0,175880.0,179580.0,178030.0,11764968860.0,66891,12300,2021-03-04,SN,202104,1,10.0,SN,1,0.16216216216216217,True,1,0,0,173200.00000000003,179230.00000000003,179460.00000000003,172640.00000000003
sn2104,sn2104,173100.0,173200.0,177370.0,170830.0,173990.0,175880.0,173200.0,13442015880.0,77254,10766,2021-03-05,SN,202104,1,10.0,SN,1,0.1891891891891892,True,1,1,0,173200.00000000003,173100.00000000003,177370.00000000003,170830.00000000003
sn2105,sn2105,173690.0,170850.0,178890.0,170500.0,175270.0,174320.0,173690.0,11939581450.0,68120,30366,2021-03-08,SN,202105,1,10.0,SN,1,0.1891891891891892,True,1,0,1,170368.01197535841,173200.0,178385.3301859635,170018.99936668779
sn2105,sn2105,172530.0,170810.0,174800.0,170800.0,172990.0,175270.0,170850.0,11157691570.0,64497,30723,2021-03-09,SN,202105,1,10.0,SN,1,0.1891891891891892,True,1,0,0,170328.12482008178,172043.2724969774,174306.86855892686,170318.15303126263
sn2105,sn2105,171800.0,174080.0,177130.0,171500.0,174500.0,172990.0,170810.0,18544821030.0,106274,31803,2021-03-10,SN,202105,1,10.0,SN,1,0.1891891891891892,True,1,0,0,173588.8997639473,171315.33191317867,176630.29535379127,171016.17824860386
sn2105,sn2105,174500.0,180050.0,180370.0,173780.0,177320.0,174500.0,174080.0,20481410060.0,115501,34765,2021-03-11,SN,202105,1,10.0,SN,1,0.1891891891891892,True,1,0,0,179542.05768898615,174007.71489435204,179861.1549311993,173289.74609937248
sn2105,sn2105,182500.0,180370.0,183100.0,178020.0,180300.0,177320.0,180050.0,21797083400.0,120888,36085,2021-03-12,SN,202105,1,10.0,SN,1,0.21621621621621623,True,1,0,0,179861.1549311993,181985.1459496805,182583.45327883013,177517.78455869656
sn2105,sn2105,179800.0,176390.0,179800.0,174580.0,176850.0,180300.0,180370.0,19391718620.0,109646,34565,2021-03-15,SN,202105,1,10.0,SN,1,0.24324324324324326,True,1,0,0,175892.38298117337,179292.76296850713,179292.76296850713,174087.48920490532
sn2105,sn2105,176390.0,174690.0,177740.0,173820.0,175910.0,176850.0,176390.0,13922777570.0,79147,33440,2021-03-16,SN,202105,1,10.0,SN,1,0.2702702702702703,True,1,0,0,174197.17888191607,175892.38298117337,177238.57447176005,173329.6332546491
sn2105,sn2105,175000.0,176040.0,176800.0,173970.0,175160.0,175910.0,174690.0,12318113710.0,70323,32970,2021-03-17,SN,202105,1,10.0,SN,1,0.2972972972972973,True,1,0,0,175543.37037250274,174506.30433531004,176301.22632275894,173479.2100869365
sn2105,sn2105,177150.0,176480.0,177970.0,175200.0,176470.0,175160.0,176040.0,12335646570.0,69902,32845,2021-03-18,SN,202105,1,10.0,SN,1,0.32432432432432434,True,1,0,0,175982.1290805458,176650.23893142954,177467.9256146007,174705.74011169325
sn2105,sn2105,177120.0,174870.0,178490.0,174700.0,177150.0,176470.0,176480.0,15986898170.0,90241,31961,2021-03-19,SN,202105,1,10.0,SN,1,0.35135135135135137,True,1,0,0,174376.67108066095,176620.32356497206,177986.45863319706,174207.15067073522
sn2105,sn2105,174790.0,177860.0,179090.0,174140.0,176710.0,177150.0,174870.0,15437671150.0,87360,31364,2021-03-22,SN,202105,1,10.0,SN,1,0.3783783783783784,True,1,0,0,177358.23593758995,174296.89677010765,178584.7659623467,173648.7304968622
sn2105,sn2105,177450.0,176550.0,179230.0,175380.0,177420.0,176710.0,177860.0,14924780450.0,84121,31805,2021-03-23,SN,202105,1,10.0,SN,1,0.40540540540540543,True,1,0,0,176051.93160227992,176949.39259600436,178724.37100581496,174885.23231043812
sn2105,sn2105,176740.0,173320.0,178140.0,172710.0,175090.0,177420.0,176550.0,14800440380.0,84530,32081,2021-03-24,SN,202105,1,10.0,SN,1,0.43243243243243246,True,1,0,0,172831.04381369104,176241.39558984395,177637.44602452643,172222.76469572223
sn2105,sn2105,173100.0,171370.0,174030.0,171040.0,172490.0,175090.0,173320.0,11961031290.0,69340,34234,2021-03-25,SN,202105,1,10.0,SN,1,0.4594594594594595,True,1,0,0,170886.5449939547,172611.66445966947,173539.04081985142,170557.4759629224
sn2105,sn2105,171080.0,174660.0,174990.0,169600.0,172070.0,172490.0,171370.0,13186190840.0,76630,22477,2021-03-26,SN,202105,1,10.0,SN,1,0.4864864864864865,True,1,0,0,174167.26351545856,170597.36311819908,174496.33254649086,169121.5383729633
sn2105,sn2105,174660.0,175300.0,175870.0,173610.0,174880.0,172070.0,174660.0,9598869840.0,54887,19673,2021-03-29,SN,202105,1,10.0,SN,1,0.5135135135135135,True,1,0,0,174805.45799988485,174167.26351545856,175373.849962577,173120.2256894467
sn2105,sn2105,175300.0,175510.0,176580.0,174640.0,175530.0,174880.0,175300.0,7760343680.0,44210,16370,2021-03-30,SN,202105,1,10.0,SN,-1,0.5135135135135135,True,1,0,0,175014.86556508724,174805.45799988488,176081.84696873743,174147.31993782026
sn2105,sn2105,175510.0,173800.0,176040.0,172380.0,173750.0,175530.0,175510.0,8279094510.0,47647,14126,2021-03-31,SN,202105,1,10.0,SN,-1,0.5135135135135135,True,1,1,0,173309.68967701076,175014.8655650872,175543.37037250272,171893.69566468996
sn2106,sn2106,173870.0,176550.0,177500.0,174000.0,175960.0,173930.0,173870.0,8554468180.0,48614,29608,2021-04-01,SN,202106,1,10.0,SN,-1,0.5135135135135135,True,1,0,1,175981.0531573949,173309.68967701076,176927.99170454597,173439.27074135776
sn2106,sn2106,176560.0,182650.0,183300.0,176300.0,180280.0,175960.0,176550.0,18215663770.0,101039,34226,2021-04-02,SN,202106,1,10.0,SN,1,0.5135135135135135,True,1,0,0,182061.39540752294,175991.02093157542,182709.3007292579,175731.85880288144
