code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
SP1906.SHF,纸浆1906,5172.0,5158.0,5192.0,5138.0,5162.0,5154.0,5170.0,11442042680.0,221650,135222,2019-01-08,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5158.0,5172.0,5192.0,5138.0
SP1906.SHF,纸浆1906,5160.0,5304.0,5340.0,5156.0,5272.0,5162.0,5158.0,36185578600.0,686342,151822,2019-01-09,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5304.0,5160.0,5340.0,5156.0
SP1906.SHF,纸浆1906,5306.0,5272.0,5362.0,5260.0,5306.0,5272.0,5304.0,36430660040.0,686384,145902,2019-01-10,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5272.0,5306.0,5362.0,5260.0
SP1906.SHF,纸浆1906,5272.0,5324.0,5328.0,5252.0,5290.0,5306.0,5272.0,21246139400.0,401620,146038,2019-01-11,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5324.000000000001,5272.000000000001,5328.000000000001,5252.000000000001
SP1906.SHF,纸浆1906,5320.0,5294.0,5378.0,5280.0,5322.0,5290.0,5324.0,26919236000.0,505772,142160,2019-01-14,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5294.000000000001,5320.000000000001,5378.000000000001,5280.000000000001
SP1906.SHF,纸浆1906,5300.0,5242.0,5302.0,5214.0,5244.0,5322.0,5294.0,24309423760.0,463412,139904,2019-01-15,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5242.000000000001,5300.000000000001,5302.000000000001,5214.000000000001
SP1906.SHF,纸浆1906,5242.0,5318.0,5320.0,5232.0,5278.0,5244.0,5242.0,20791400640.0,393780,137610,2019-01-16,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5318.000000000002,5242.000000000003,5320.000000000003,5232.000000000003
SP1906.SHF,纸浆1906,5310.0,5316.0,5342.0,5284.0,5316.0,5278.0,5318.0,22574584200.0,424606,145666,2019-01-17,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5316.000000000001,5310.000000000001,5342.000000000001,5284.000000000001
SP1906.SHF,纸浆1906,5308.0,5380.0,5418.0,5260.0,5346.0,5316.0,5316.0,38134278040.0,713180,145996,2019-01-18,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5380.000000000002,5308.000000000003,5418.000000000003,5260.000000000003
SP1906.SHF,纸浆1906,5386.0,5448.0,5472.0,5372.0,5412.0,5346.0,5380.0,33404924560.0,617074,146590,2019-01-21,SP,201906,10,2.0,SP,1,1.0,True,1,0,0,5448.000000000002,5386.000000000003,5472.000000000003,5372.000000000003
