code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
SR1101.CZC,白糖1101,5101.0,5067.0,5125.0,5060.0,5090.0,5080.0,5090.0,72379152200.0,1421902,581238,2010-07-27,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5067.0,5101.0,5125.0,5060.0
SR1101.CZC,白糖1101,5075.0,5120.0,5121.0,5071.0,5101.0,5090.0,5067.0,55662163500.0,1091224,610764,2010-07-28,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5120.0,5075.0,5121.0,5071.0
SR1101.CZC,白糖1101,5140.0,5152.0,5174.0,5111.0,5143.0,5101.0,5120.0,68299154600.0,1327888,633376,2010-07-29,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5152.000000000001,5140.000000000001,5174.000000000001,5111.000000000001
SR1101.CZC,白糖1101,5175.0,5194.0,5195.0,5152.0,5175.0,5143.0,5152.0,65731996400.0,1270222,635546,2010-07-30,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5194.0,5175.0,5195.0,5152.0
SR1101.CZC,白糖1101,5203.0,5281.0,5313.0,5203.0,5267.0,5175.0,5194.0,85886227500.0,1630786,680714,2010-08-02,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5281.0,5203.0,5313.0,5203.0
SR1101.CZC,白糖1101,5280.0,5264.0,5289.0,5245.0,5265.0,5267.0,5281.0,69146910700.0,1313378,670476,2010-08-03,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5264.000000000001,5280.000000000001,5289.000000000001,5245.000000000001
SR1101.CZC,白糖1101,5221.0,5219.0,5235.0,5166.0,5205.0,5265.0,5264.0,113205000000.0,2174738,713670,2010-08-04,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5219.000000000001,5221.000000000001,5235.000000000001,5166.000000000001
SR1101.CZC,白糖1101,5241.0,5234.0,5272.0,5226.0,5247.0,5205.0,5219.0,61730462100.0,1176540,661162,2010-08-05,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5234.000000000001,5241.000000000001,5272.000000000001,5226.000000000001
SR1101.CZC,白糖1101,5196.0,5262.0,5266.0,5189.0,5228.0,5247.0,5234.0,63328051200.0,1211416,611948,2010-08-06,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5262.0,5196.0,5266.0,5189.0
SR1101.CZC,白糖1101,5261.0,5322.0,5325.0,5260.0,5295.0,5228.0,5262.0,59296337200.0,1119806,606656,2010-08-09,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5322.000000000001,5261.000000000001,5325.000000000001,5260.000000000001
SR1101.CZC,白糖1101,5285.0,5272.0,5303.0,5254.0,5279.0,5295.0,5322.0,56145996300.0,1063532,603984,2010-08-10,SR,201101,10,1.0,SR,1,1.0,True,1,0,0,5272.0,5285.0,5303.0,5254.0
SR1101.CZC,白糖1101,5320.0,5289.0,5335.0,5282.0,5312.0,5279.0,5272.0,51186837700.0,963596,575164,2010-08-11,SR,201101,10,1.0,SR,1,1.0,True,1,1,0,5289.0,5320.0,5335.0,5282.0
