code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
T2006,T2006,102.13,102.18,102.29,102.07,102.16,102.08,102.13,53422820500.0,52287,81003,2020-04-21,T,202006,10000,0.005,T,1,0.0,True,5,0,0,102.18,102.13,102.29,102.07
T2006,T2006,102.29,102.45,102.54,102.25,102.47,102.16,102.18,51460770650.0,50249,78696,2020-04-22,T,202006,10000,0.005,T,1,0.02702702702702703,True,5,0,0,102.44999999999997,102.28999999999998,102.53999999999998,102.24999999999997
T2006,T2006,102.45,103.09,103.22,102.32,103.12,102.47,102.45,82514231150.0,80223,77916,2020-04-23,T,202006,10000,0.005,T,1,0.05405405405405406,True,5,0,0,103.08999999999997,102.44999999999997,103.21999999999997,102.31999999999996
T2006,T2006,103.22,103.32,103.49,103.01,103.21,103.12,103.09,77433525300.0,75000,75141,2020-04-24,T,202006,10000,0.005,T,1,0.08108108108108109,True,5,0,0,103.31999999999998,103.21999999999998,103.48999999999998,103.00999999999999
T2006,T2006,103.03,103.11,103.13,102.92,103.07,103.21,103.32,46377615200.0,45013,72128,2020-04-27,T,202006,10000,0.005,T,-1,0.08108108108108109,True,5,0,0,103.10999999999999,103.02999999999999,103.12999999999998,102.91999999999999
T2006,T2006,103.13,103.26,103.31,103.07,103.25,103.07,103.1,45625739150.0,44219,68669,2020-04-28,T,202006,10000,0.005,T,-1,0.08108108108108109,True,5,0,0,103.27001551891368,103.14000290979631,103.3200203685742,103.07999709020368
T2006,T2006,103.3,103.47,103.49,103.24,103.39,103.25,103.26,42008882500.0,40650,66639,2020-04-29,T,202006,10000,0.005,T,-1,0.08108108108108109,True,5,0,0,103.48003588748787,103.3100193986421,103.50003782735209,103.25001357904947
T2006,T2006,103.37,102.94,103.39,102.92,103.0,103.39,103.47,48349582250.0,46892,62139,2020-04-30,T,202006,10000,0.005,T,-1,0.08108108108108109,True,5,0,0,102.94998448108633,103.38002618816684,103.40002812803104,102.92998254122212
T2006,T2006,102.97,102.64,103.12,102.6,102.66,103.0,102.94,43291795550.0,42113,60385,2020-05-06,T,202006,10000,0.005,T,-1,0.05405405405405406,True,5,0,0,102.64995538312319,102.97998739088264,103.13000193986421,102.60995150339475
T2006,T2006,102.51,102.11,102.6,102.09,102.2,102.66,102.63,64812263000.0,63299,58079,2020-05-07,T,202006,10000,0.005,T,1,0.08108108108108109,True,5,0,0,102.12985427429318,102.52993205031628,102.61994954992146,102.10985038549204
T2006,T2006,102.19,102.14,102.32,101.78,102.17,102.2,102.1,76789652950.0,75236,53172,2020-05-08,T,202006,10000,0.005,T,1,0.10810810810810811,True,5,0,0,102.16986597038498,102.21988059049973,102.34991860279803,101.80976070555887
T2006,T2006,102.07,101.64,102.13,101.55,101.67,102.16,102.14,65498042250.0,64331,53697,2020-05-11,T,202006,10000,0.005,T,1,0.13513513513513514,True,5,0,0,101.6697197692376,102.09984550222433,102.159863046362,101.57969345303106
T2006,T2006,101.81,101.9,102.04,101.67,101.92,101.66,101.64,63466520350.0,62297,47496,2020-05-12,T,202006,10000,0.005,T,1,0.16216216216216217,True,5,0,0,101.92979579383423,101.8397694776277,102.0698367301555,101.69972854130644
T2006,T2006,101.92,101.66,102.04,101.6,101.66,101.91,101.9,53673612550.0,52708,45258,2020-05-13,T,202006,10000,0.005,T,1,0.1891891891891892,True,5,1,0,101.68972561728349,101.94980164188011,102.0698367301555,101.62970807314579
T2009,T2009,100.95,100.99,101.05,100.51,100.92,100.96,100.95,70421925350.0,69851,51727,2020-05-14,T,202009,10000,0.005,T,1,0.21621621621621623,True,5,0,1,101.73001872302585,101.68972561728349,101.79045838163938,101.24650145411752
T2009,T2009,101.15,101.12,101.23,100.74,101.14,100.92,100.99,77745478600.0,76984,55583,2020-05-15,T,202009,10000,0.005,T,1,0.24324324324324326,True,5,0,0,101.86097131668853,101.8911911459953,101.97177735748002,101.47818681213609
T2009,T2009,100.96,100.61,100.99,100.53,100.61,101.14,101.12,81008368550.0,80439,61034,2020-05-18,T,202009,10000,0.005,T,1,0.2702702702702703,True,5,0,0,101.34723421847343,101.69979889371909,101.73001872302586,101.26664800698872
T2009,T2009,100.39,100.7,100.86,100.26,100.77,100.6,100.61,83987671050.0,83497,65791,2020-05-19,T,202009,10000,0.005,T,1,0.2972972972972973,True,5,0,0,101.43789370639375,101.12562213689046,101.5990661293632,100.99466954322779
T2009,T2009,100.8,100.93,101.1,100.71,101.0,100.77,100.7,68923883900.0,68304,65217,2020-05-20,T,202009,10000,0.005,T,1,0.32432432432432434,True,5,0,0,101.66957906441232,101.53862647074963,101.84082476381734,101.44796698282931
T2009,T2009,100.94,101.04,101.22,100.91,101.09,101.0,100.93,63216073500.0,62529,64312,2020-05-21,T,202009,10000,0.005,T,1,0.32432432432432434,True,5,0,0,101.7803851052038,101.6796523408479,101.96170408104443,101.64943251154112
T2009,T2009,101.24,101.73,101.73,101.24,101.61,101.09,101.04,82623355050.0,81408,65668,2020-05-22,T,202009,10000,0.005,T,1,0.35135135135135137,True,5,0,0,102.4754411792595,101.98185063391558,102.4754411792595,101.98185063391558
T2009,T2009,101.55,101.22,101.58,101.19,101.23,101.6,101.73,61313971300.0,60508,65105,2020-05-25,T,202009,10000,0.005,T,1,0.3783783783783784,True,5,0,0,101.96170408104442,102.2941222034189,102.32434203272567,101.93148425173766
T2009,T2009,101.15,100.8,101.48,100.67,100.83,101.23,101.22,85608599600.0,84801,68663,2020-05-26,T,202009,10000,0.005,T,1,0.40540540540540543,True,5,0,0,101.53862647074963,101.8911911459953,102.22360926836977,101.40767387708696
T2009,T2009,100.81,100.93,101.0,100.7,100.86,100.83,100.8,76665660150.0,76012,71036,2020-05-27,T,202009,10000,0.005,T,1,0.43243243243243246,True,5,0,0,101.66957906441232,101.54869974718522,101.74009199946144,101.43789370639374
T2009,T2009,101.0,101.18,101.32,100.92,101.23,100.86,100.93,80116270250.0,79241,72839,2020-05-28,T,202009,10000,0.005,T,1,0.4594594594594595,True,5,0,0,101.92141097530208,101.74009199946144,102.06243684540033,101.65950578797671
T2009,T2009,101.23,100.99,101.37,100.96,101.05,101.23,101.18,68297660950.0,67505,73275,2020-05-29,T,202009,10000,0.005,T,1,0.4864864864864865,True,5,0,0,101.73001872302585,101.97177735748002,102.11280322757828,101.69979889371908
T2009,T2009,101.15,100.81,101.2,100.71,100.77,101.05,100.99,60022266400.0,59484,74112,2020-06-01,T,202009,10000,0.005,T,1,0.5135135135135135,True,5,0,0,101.54869974718522,101.8911911459953,101.94155752817325,101.44796698282931
T2009,T2009,100.68,100.3,100.7,100.3,100.48,100.77,100.8,83696727400.0,83262,75978,2020-06-02,T,202009,10000,0.005,T,1,0.5405405405405406,True,5,0,0,101.04498595875673,101.42780843796238,101.44795698949953,101.04498595875673
T2009,T2009,100.21,100.38,100.41,99.9,100.31,100.48,100.3,113397000000.0,113223,75391,2020-06-03,T,202009,10000,0.005,T,1,0.5675675675675675,True,5,0,0,101.12558016490529,100.95431747683959,101.155802992211,100.64201492801394
T2009,T2009,100.21,100.11,100.38,100.03,100.11,100.3,100.38,63945767050.0,63813,76325,2020-06-04,T,202009,10000,0.005,T,1,0.5945945945945946,True,5,0,0,100.8535747191539,100.95431747683959,101.12558016490527,100.77298051300534
T2009,T2009,100.05,99.85,100.23,99.8,99.86,100.1,100.1,83916619850.0,83945,78300,2020-06-05,T,202009,10000,0.005,T,1,0.6216216216216216,True,5,0,0,100.60169266441076,100.80319830820528,100.98455338762034,100.55131625346213
T2009,T2009,99.84,100.18,100.26,99.73,100.18,99.86,99.85,65989468650.0,65959,77930,2020-06-08,T,202009,10000,0.005,T,1,0.6486486486486487,True,5,0,0,100.93417697667172,100.59161738222105,101.01477923418952,100.48078927813407
T2009,T2009,100.14,100.05,100.36,100.02,100.1,100.18,100.18,62362268000.0,62231,76982,2020-06-09,T,202009,10000,0.005,T,1,0.6756756756756757,True,5,0,0,100.80319830820528,100.89387584791281,101.11553205608678,100.7729724616361
T2009,T2009,100.15,100.13,100.24,99.93,100.05,100.1,100.05,67526612150.0,67476,76929,2020-06-10,T,202009,10000,0.005,T,1,0.7027027027027027,True,5,0,0,100.88380056572308,100.90395113010254,100.99462866981006,100.68229492192857
