code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
V1705.DCE,PVC1705,6825.0,6810.0,6885.0,6745.0,6800.0,6830.0,6820.0,5164456100.0,151786,125104,2016-12-06,V,201705,5,5.0,V,1,0.0072992700729927005,True,9,0,0,6810.0,6825.0,6885.0,6745.0
V1705.DCE,PVC1705,6845.0,7040.0,7080.0,6825.0,6955.0,6800.0,6810.0,10345900800.0,297322,147828,2016-12-07,V,201705,5,5.0,V,1,0.021897810218978103,True,9,0,0,7040.0,6845.0,7080.0,6825.0
V1705.DCE,PVC1705,6990.0,7135.0,7265.0,6900.0,7115.0,6955.0,7040.0,14199541400.0,398934,165018,2016-12-08,V,201705,5,5.0,V,1,0.0364963503649635,True,9,0,0,7135.0,6990.0,7265.0,6900.0
V1705.DCE,PVC1705,7035.0,6960.0,7090.0,6810.0,6945.0,7115.0,7135.0,11383448000.0,327586,146924,2016-12-09,V,201705,5,5.0,V,1,0.051094890510948905,True,9,0,0,6960.0,7035.0,7090.0,6810.0
V1705.DCE,PVC1705,7100.0,7010.0,7165.0,6990.0,7065.0,6945.0,6960.0,8207071600.0,232246,143368,2016-12-12,V,201705,5,5.0,V,1,0.06569343065693431,True,9,0,0,7010.0,7100.0,7165.0,6990.0
V1705.DCE,PVC1705,7000.0,6940.0,7035.0,6895.0,6965.0,7065.0,7010.0,5888052600.0,169056,137234,2016-12-13,V,201705,5,5.0,V,1,0.08029197080291971,True,9,0,0,6940.0,7000.0,7035.0,6895.0
V1705.DCE,PVC1705,6875.0,6800.0,6925.0,6720.0,6815.0,6965.0,6940.0,7059558900.0,207092,131442,2016-12-14,V,201705,5,5.0,V,1,0.0948905109489051,True,9,0,0,6800.0,6875.0,6925.0,6720.0
V1705.DCE,PVC1705,6750.0,6735.0,6850.0,6715.0,6770.0,6815.0,6800.0,5231106200.0,154494,136520,2016-12-15,V,201705,5,5.0,V,1,0.10948905109489052,True,9,0,0,6735.0,6750.0,6850.0,6715.0
V1705.DCE,PVC1705,6765.0,6490.0,6780.0,6485.0,6620.0,6770.0,6735.0,9295912600.0,280746,153962,2016-12-16,V,201705,5,5.0,V,1,0.12408759124087591,True,9,0,0,6490.0,6765.0,6780.0,6485.0
V1705.DCE,PVC1705,6470.0,6290.0,6490.0,6290.0,6385.0,6620.0,6490.0,7052975300.0,220902,150892,2016-12-19,V,201705,5,5.0,V,1,0.1386861313868613,True,9,0,0,6290.000000000001,6470.000000000002,6490.000000000002,6290.000000000002
V1705.DCE,PVC1705,6270.0,6215.0,6310.0,6170.0,6235.0,6385.0,6290.0,8409924200.0,269682,151422,2016-12-20,V,201705,5,5.0,V,1,0.15328467153284672,True,9,0,0,6215.000000000001,6270.000000000002,6310.000000000002,6170.000000000002
