code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
WS1209.CZC,强麦1209,2483.0,2477.0,2490.0,2471.0,2479.0,2485.0,2490.0,2747224000.0,110842,387910,2012-05-07,WH,201209,10,1.0,WH,1,0.0072992700729927005,True,5,0,0,2477.0,2483.0,2490.0,2471.0
WS1209.CZC,强麦1209,2482.0,2472.0,2484.0,2470.0,2478.0,2479.0,2477.0,2287524100.0,92298,392222,2012-05-08,WH,201209,10,1.0,WH,1,0.021897810218978103,True,5,0,0,2472.0,2482.0,2484.0,2470.0
WS1209.CZC,强麦1209,2469.0,2464.0,2475.0,2460.0,2466.0,2478.0,2472.0,2489296100.0,100930,384934,2012-05-09,WH,201209,10,1.0,WH,1,0.0364963503649635,True,5,0,0,2464.0,2469.0,2475.0,2460.0
WS1209.CZC,强麦1209,2462.0,2464.0,2467.0,2456.0,2461.0,2466.0,2464.0,2027094800.0,82364,381410,2012-05-10,WH,201209,10,1.0,WH,1,0.051094890510948905,True,5,0,0,2464.0,2462.0,2467.0,2456.0
WS1209.CZC,强麦1209,2460.0,2429.0,2462.0,2429.0,2444.0,2461.0,2464.0,3092623100.0,126546,352438,2012-05-11,WH,201209,10,1.0,WH,1,0.06569343065693431,True,5,0,0,2429.0000000000005,2460.0000000000005,2462.0000000000005,2429.0000000000005
WS1209.CZC,强麦1209,2432.0,2390.0,2432.0,2385.0,2407.0,2444.0,2429.0,3527437300.0,146558,326348,2012-05-14,WH,201209,10,1.0,WH,1,0.08029197080291971,True,5,0,0,2390.0,2432.0,2432.0,2385.0
WS1209.CZC,强麦1209,2390.0,2393.0,2395.0,2369.0,2382.0,2407.0,2390.0,3964031500.0,166390,314348,2012-05-15,WH,201209,10,1.0,WH,1,0.0948905109489051,True,5,0,0,2393.0000000000005,2390.0000000000005,2395.0000000000005,2369.0000000000005
WS1209.CZC,强麦1209,2388.0,2372.0,2397.0,2369.0,2382.0,2382.0,2393.0,2234996000.0,93814,306706,2012-05-16,WH,201209,10,1.0,WH,1,0.10948905109489052,True,5,0,0,2372.0,2388.0,2397.0,2369.0
WS1209.CZC,强麦1209,2388.0,2393.0,2398.0,2375.0,2389.0,2382.0,2372.0,3476307400.0,145522,331984,2012-05-17,WH,201209,10,1.0,WH,1,0.12408759124087591,True,5,0,0,2393.0000000000005,2388.0000000000005,2398.0000000000005,2375.0000000000005
WS1209.CZC,强麦1209,2392.0,2385.0,2396.0,2377.0,2387.0,2389.0,2393.0,2674658700.0,112048,332850,2012-05-18,WH,201209,10,1.0,WH,1,0.1386861313868613,True,5,0,0,2385.0,2392.0,2396.0,2377.0
WS1209.CZC,强麦1209,2420.0,2418.0,2461.0,2411.0,2423.0,2387.0,2385.0,8010558700.0,330638,409040,2012-05-21,WH,201209,10,1.0,WH,1,0.15328467153284672,True,5,0,0,2418.0,2420.0,2461.0,2411.0
