code,name,open,close,high,low,settle,presettle,preclose,turnovervalue,volume,openinterest,date,pz,delivery_month,multiplier,ticksize,category,qualified,qualified_ma,qualified_ma_gt_0,group_num,next_c_chg,c_chg,adjusted_close,adjusted_open,adjusted_high,adjusted_low
Y1101.DCE,豆油1101,7620.0,7562.0,7636.0,7556.0,7596.0,7658.0,7648.0,16302835600.0,214594,328690,2010-07-27,Y,201101,10,2.0,Y,1,1.0,True,1,0,0,7562.0,7620.0,7636.0,7556.0
Y1101.DCE,豆油1101,7568.0,7600.0,7606.0,7562.0,7588.0,7596.0,7562.0,10029318400.0,132142,315854,2010-07-28,Y,201101,10,2.0,Y,1,1.0,True,1,0,0,7600.0,7568.0,7606.0,7562.0
Y1101.DCE,豆油1101,7638.0,7674.0,7688.0,7618.0,7656.0,7588.0,7600.0,18725449500.0,244562,309412,2010-07-29,Y,201101,10,2.0,Y,1,1.0,True,1,0,0,7674.0,7638.0,7688.0,7618.0
Y1101.DCE,豆油1101,7698.0,7692.0,7738.0,7682.0,7706.0,7656.0,7674.0,14769233500.0,191636,314412,2010-07-30,Y,201101,10,2.0,Y,1,1.0,True,1,0,0,7691.999999999999,7697.999999999999,7737.999999999999,7681.999999999999
Y1101.DCE,豆油1101,7780.0,7842.0,7868.0,7760.0,7822.0,7706.0,7692.0,20556203200.0,262754,310614,2010-08-02,Y,201101,10,2.0,Y,1,1.0,True,1,1,0,7842.0,7780.0,7868.0,7760.0
Y1105.DCE,豆油1105,7858.0,7880.0,7928.0,7808.0,7880.0,7842.0,7858.0,25638870200.0,325356,217832,2010-08-03,Y,201105,10,2.0,Y,1,1.0,True,1,0,1,7863.955204886739,7841.999999999999,7911.857470094171,7792.101807075591
Y1105.DCE,豆油1105,7928.0,7942.0,7988.0,7902.0,7944.0,7880.0,7880.0,44521971900.0,560414,247454,2010-08-04,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7925.828964113004,7911.85747009417,7971.735301603459,7885.910409773477
Y1105.DCE,豆油1105,8008.0,7884.0,8032.0,7854.0,7926.0,7944.0,7942.0,52126471700.0,657556,241308,2010-08-05,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7867.947060320691,7991.694578773223,8015.645711376939,7838.008144566045
Y1105.DCE,豆油1105,7910.0,8112.0,8118.0,7876.0,7968.0,7926.0,7884.0,71520366500.0,897476,318512,2010-08-06,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8095.482820055992,7893.894120641383,8101.470603206921,7859.963349452785
Y1105.DCE,豆油1105,8110.0,8286.0,8286.0,8088.0,8218.0,7968.0,8112.0,116034000000.0,1411650,425580,2010-08-09,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8269.128531432933,8093.486892339016,8269.128531432933,8071.531687452276
Y1105.DCE,豆油1105,8244.0,8218.0,8296.0,8176.0,8226.0,8218.0,8286.0,161273000000.0,1960104,482558,2010-08-10,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8201.266989055737,8227.21404937643,8279.108170017815,8159.352506999235
Y1105.DCE,豆油1105,8222.0,8166.0,8286.0,8142.0,8228.0,8226.0,8218.0,166065000000.0,2018152,504492,2010-08-11,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8149.372868414353,8205.25884448969,8269.128531432933,8125.421735810637
Y1105.DCE,豆油1105,8160.0,8146.0,8198.0,8102.0,8154.0,8228.0,8166.0,121184000000.0,1486016,456856,2010-08-12,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8129.413591244591,8143.385085263425,8181.307711885976,8085.503181471111
Y1105.DCE,豆油1105,8150.0,8342.0,8354.0,8150.0,8280.0,8154.0,8146.0,169238000000.0,2043830,639670,2010-08-13,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8325.014507508273,8133.405446678546,8336.990073810131,8133.405446678546
Y1105.DCE,豆油1105,8368.0,8318.0,8416.0,8306.0,8352.0,8280.0,8342.0,107431000000.0,1286198,580582,2010-08-16,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8301.063374904556,8350.961567828965,8398.863833036396,8289.087808602699
Y1105.DCE,豆油1105,8248.0,8276.0,8300.0,8214.0,8256.0,8352.0,8318.0,91190429700.0,1104418,569508,2010-08-17,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8259.148892848052,8231.205904810384,8283.100025451768,8197.275133621786
Y1105.DCE,豆油1105,8310.0,8172.0,8358.0,8152.0,8252.0,8256.0,8276.0,120278000000.0,1457260,542326,2010-08-18,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8155.360651565285,8293.079664036652,8340.981929244084,8135.401374395521
Y1105.DCE,豆油1105,8180.0,8182.0,8210.0,8112.0,8164.0,8252.0,8172.0,108709000000.0,1331264,557058,2010-08-19,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8165.340290150167,8163.34436243319,8193.283278187835,8095.482820055995
Y1105.DCE,豆油1105,8056.0,7958.0,8080.0,7944.0,8018.0,8164.0,8182.0,93982827800.0,1171970,522832,2010-08-20,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7941.796385848818,8039.596843980658,8063.547976584375,7927.824891829984
Y1105.DCE,豆油1105,7984.0,7984.0,8040.0,7948.0,7996.0,8018.0,7958.0,96852263400.0,1211220,526066,2010-08-23,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7967.743446169511,7967.743446169511,8023.629422244849,7931.816747263938
Y1105.DCE,豆油1105,7948.0,7934.0,8036.0,7914.0,7990.0,7996.0,7984.0,102413000000.0,1281752,543396,2010-08-24,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7917.845253245104,7931.816747263939,8019.637566810897,7897.885976075341
Y1105.DCE,豆油1105,7960.0,7908.0,8014.0,7896.0,7958.0,7990.0,7934.0,96112771800.0,1207532,555574,2010-08-25,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7891.89819292441,7943.792313565795,7997.682361924156,7879.922626622552
Y1105.DCE,豆油1105,7940.0,7988.0,7994.0,7940.0,7964.0,7958.0,7908.0,76816792200.0,964484,565328,2010-08-26,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7971.735301603465,7923.833036396033,7977.723084754394,7923.833036396033
Y1105.DCE,豆油1105,8010.0,8068.0,8074.0,7992.0,8032.0,7964.0,7988.0,91999880700.0,1145298,574572,2010-08-27,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8051.572410282517,7993.690506490204,8057.560193433446,7975.727157037417
Y1105.DCE,豆油1105,8136.0,8144.0,8168.0,8104.0,8140.0,8032.0,8068.0,71418316000.0,877288,573464,2010-08-30,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,8127.417663527618,8119.433952659712,8151.3687961313335,8087.499109188091
Y1105.DCE,豆油1105,8068.0,7988.0,8072.0,7980.0,8012.0,8140.0,8144.0,77041873800.0,961378,541148,2010-08-31,Y,201105,10,2.0,Y,1,1.0,True,1,0,0,7971.735301603463,8051.572410282516,8055.564265716469,7963.751590735558
